time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001589,-0.0228,0.1640,-0.0274,0.168
0.003773,0.0349,0.1643,0.0703,0.182
0.010524,0.0351,0.2263,0.0246,0.230
0.014751,0.0733,0.2399,0.0317,0.253
0.017656,0.1682,0.2438,0.0767,0.306
0.022151,0.0343,0.2901,0.0172,0.293
0.026935,-0.1031,0.3356,-0.0792,0.360
0.033888,-0.0539,0.2807,-0.1646,0.330
0.038587,0.0046,0.1931,-0.2532,0.318
0.046118,-0.0038,0.1443,-0.3160,0.347
0.047892,-0.0071,0.0532,-0.2110,0.218
0.052699,-0.0482,-0.0035,-0.0489,0.069
0.058077,-0.0936,-0.0503,0.0695,0.127
0.062837,-0.1007,-0.0966,0.0684,0.155
0.068003,-0.1884,-0.0094,-0.0513,0.195
0.072695,-0.2562,-0.0129,-0.1072,0.278
0.078852,-0.1951,0.0598,0.0323,0.207
0.082411,-0.1110,0.1408,0.2314,0.293
0.087669,0.0102,0.0309,0.3372,0.339
0.092973,0.0302,0.0121,0.3359,0.337
0.099645,0.0831,-0.0308,0.3567,0.368
0.104648,0.1209,-0.0689,0.3563,0.383
0.107938,0.1486,-0.0356,0.3022,0.339
0.113265,0.1806,-0.0361,0.1808,0.258
0.124946,0.1266,-0.0224,0.0216,0.130
0.125579,0.0351,0.0575,-0.1889,0.201
0.127794,-0.0129,0.1884,-0.4304,0.470
0.132520,0.1821,-0.1101,-0.3169,0.382
0.138204,0.2089,-0.1681,-0.1822,0.324
0.144018,-0.0069,0.0310,-0.2725,0.274
0.148662,-0.0024,-0.1000,-0.2290,0.250
0.153652,0.0590,-0.1873,-0.1577,0.252
0.158976,0.0249,-0.1693,-0.1724,0.243
0.163744,-0.0040,-0.1846,-0.2531,0.313
0.169727,-0.0374,-0.2328,-0.3181,0.396
0.173245,-0.0989,-0.2044,-0.2727,0.355
0.178977,-0.1169,-0.2047,-0.1890,0.302
0.183313,-0.1871,-0.1953,-0.1627,0.316
0.187694,-0.3040,-0.1954,-0.0884,0.372
0.192553,-0.1442,-0.0865,-0.1323,0.214
0.198991,0.0287,-0.3680,0.1858,0.413
0.204258,-0.0662,-0.3045,0.1769,0.358
0.208802,-0.2410,-0.1938,-0.0075,0.309
0.212140,-0.1340,-0.2786,-0.2467,0.395
0.218181,-0.0560,-0.2486,-0.4822,0.545
0.223195,0.0926,-0.3944,0.0109,0.405
0.227731,0.1064,-0.3103,0.2646,0.421
0.233769,-0.0275,-0.2885,0.3431,0.449
0.239181,-0.0752,-0.3287,0.3378,0.477
0.243835,-0.0992,-0.4019,0.2498,0.483
0.248376,-0.0851,-0.4271,0.1188,0.451
0.252503,-0.0616,-0.4142,-0.0018,0.419
0.258468,0.0283,-0.5536,0.0882,0.561
0.262961,0.0222,-0.5346,0.1150,0.547
0.267841,-0.0549,-0.3826,0.0185,0.387
0.273719,0.0683,-0.5264,-0.0621,0.534
0.278216,0.1099,-0.5403,-0.1074,0.562
0.283042,0.1134,-0.5779,-0.1606,0.610
0.288757,0.1218,-0.5678,-0.1840,0.609
0.294914,0.1302,-0.5722,-0.1923,0.617
0.299976,0.1054,-0.5622,-0.2473,0.623
0.304396,0.0810,-0.6140,-0.2489,0.667
0.312927,0.0569,-0.6416,-0.1976,0.674
0.313744,0.0618,-0.6124,-0.2589,0.668
0.318141,0.2187,-0.8636,0.0746,0.894
0.322661,0.0747,-0.7323,0.1140,0.745
0.327757,-0.0208,-0.6117,0.0427,0.613
0.332593,0.0128,-0.5921,0.1191,0.604
0.338509,0.0791,-0.6723,0.2267,0.714
0.343437,0.0497,-0.6900,0.1426,0.706
0.348846,0.0204,-0.6694,0.0778,0.674
0.354464,0.0579,-0.6439,0.0043,0.647
0.361486,0.0858,-0.6184,-0.1534,0.643
0.363066,0.1184,-0.6450,-0.2184,0.691
0.370058,0.1270,-0.6138,-0.2109,0.661
0.373140,0.1358,-0.5681,-0.2264,0.626
0.378730,0.1968,-0.6127,-0.1744,0.667
0.386004,0.2148,-0.6138,-0.0790,0.655
0.389201,0.2233,-0.5907,-0.0073,0.632
0.392653,0.2367,-0.6058,-0.0915,0.657
0.399227,0.3359,-0.8581,0.1405,0.932
0.403847,0.2061,-0.7181,0.1706,0.766
0.407976,0.1962,-0.7642,0.1629,0.806
0.413926,0.1818,-0.7335,0.1369,0.768
0.419975,0.1106,-0.6510,0.1599,0.679
0.423423,0.0637,-0.6829,0.4103,0.799
0.428457,0.1217,-0.5719,0.3920,0.704
0.432607,0.1125,-0.5231,0.3594,0.645
0.439150,0.0275,-0.5034,0.3940,0.640
0.445264,0.0476,-0.4362,0.3752,0.577
0.449347,0.0484,-0.3787,0.1523,0.411
0.455024,0.0304,-0.3976,0.0078,0.399
0.459420,0.0363,-0.4256,0.0553,0.431
0.463339,-0.0669,-0.3963,0.1224,0.420
0.468418,-0.0504,-0.4148,0.2847,0.506
0.474124,-0.1053,-0.3334,0.3172,0.472
0.479350,-0.1408,-0.3291,0.3399,0.494
0.483418,-0.1285,-0.3635,0.4143,0.566
0.488126,-0.0975,-0.3554,0.5063,0.626
0.494833,-0.0810,-0.3481,0.5304,0.640
0.498579,-0.0695,-0.4078,0.4778,0.632
0.503570,-0.0344,-0.4625,0.4015,0.613
0.512604,0.0624,-0.5174,0.3415,0.623
0.513502,0.2294,-0.5999,0.5895,0.872
0.522894,0.1573,-0.3964,0.3169,0.531
0.523495,0.2666,-0.4513,0.4274,0.676
0.529048,0.4413,-0.4818,0.5745,0.870
0.532702,0.3912,-0.4027,0.6343,0.847
0.537464,0.3937,-0.4290,0.6267,0.855
0.543127,0.4673,-0.4407,0.5191,0.826
0.547971,0.4312,-0.4525,0.3697,0.726
0.552351,0.3289,-0.4831,-0.0958,0.592
0.558098,0.2563,-0.5041,-0.3229,0.651
0.564433,0.3129,-0.5441,-0.3986,0.743
0.568384,0.3692,-0.5645,-0.4386,0.805
0.574066,0.4444,-0.5656,-0.3764,0.812
0.578497,0.5667,-0.6283,-0.2368,0.879
0.583417,0.5979,-0.6236,0.0122,0.864
0.587863,0.5956,-0.5950,0.3072,0.896
0.593062,0.6360,-0.6569,0.4427,1.016
0.602781,1.3364,-1.2064,0.5585,1.885
0.604707,0.4817,-0.3069,1.1840,1.315
0.611379,0.7458,-0.4557,0.6300,1.077
0.613839,0.6702,-0.4085,0.8016,1.122
0.623910,0.6996,-0.5420,0.6767,1.114
0.624578,0.5055,-0.3420,0.6762,0.911
0.629523,0.7739,-0.5096,0.7716,1.206
0.633286,0.5554,-0.3291,0.9465,1.146
0.639753,0.5003,-0.3882,0.7876,1.011
0.644554,0.3935,-0.4992,0.7919,1.015
0.649032,0.1783,-0.3868,0.6398,0.769
0.652861,0.1503,-0.4090,0.6746,0.803
0.660322,0.0608,-0.2987,0.7894,0.846
0.663711,-0.0898,-0.0767,0.9550,0.962
0.669349,-0.1584,-0.0384,0.9804,0.994
0.674459,-0.1457,-0.0777,1.0663,1.079
0.678991,-0.1666,-0.1649,1.1734,1.197
0.684094,-0.2922,-0.0047,1.0156,1.057
0.688741,-0.3313,0.1014,0.6782,0.762
0.692553,-0.2083,0.0774,0.5724,0.614
0.698641,0.0466,-0.1367,0.5952,0.612
0.705195,0.1093,-0.0972,0.4369,0.461
0.708357,0.1289,-0.1767,0.3859,0.444
0.713023,0.1057,-0.2170,0.3559,0.430
0.722490,-0.0168,0.0043,0.5278,0.528
0.723125,-0.1382,0.2042,0.7604,0.799
0.727736,-0.1682,0.3344,0.8913,0.967
0.733343,0.0587,0.0969,0.9413,0.948
0.738343,0.2791,0.0366,0.9351,0.977
0.742428,0.4550,0.0381,0.9916,1.092
0.748434,0.4870,0.0157,0.8436,0.974
0.752663,0.5092,-0.1059,0.6830,0.858
0.758167,0.4364,-0.0599,0.5445,0.700
0.763602,0.3690,-0.0518,0.5326,0.650
0.768354,0.3071,-0.0101,0.6933,0.758
0.773636,0.1934,-0.0351,0.9618,0.982
0.778399,0.0900,-0.0977,0.9091,0.919
0.783636,0.0397,-0.1121,0.8043,0.813
0.787888,0.0610,-0.0121,0.8193,0.822
0.793959,0.0963,0.0019,0.7770,0.783
0.798711,0.0743,0.0163,0.8062,0.810
0.802925,0.0855,0.0360,0.8680,0.873
0.812462,0.0157,-0.0530,0.9994,1.001
0.813006,-0.1439,-0.0079,1.2140,1.223
0.818304,-0.2785,0.0603,1.4164,1.445
0.823244,-0.2505,0.1412,1.7211,1.745
0.827946,-0.0804,0.0120,1.8460,1.848
0.832946,-0.0305,-0.0115,1.7598,1.760
0.838175,-0.0144,-0.1058,1.5884,1.592
0.842914,-0.0887,-0.1088,1.4085,1.415
0.847872,-0.1530,-0.1827,1.3008,1.322
0.852882,-0.2359,-0.3174,1.2359,1.298
0.858669,-0.3942,-0.3989,1.1753,1.302
0.863456,-0.4990,-0.5660,1.0900,1.326
0.868253,-0.3750,-0.5659,0.8619,1.097
0.874054,-0.3803,-0.5418,0.5212,0.843
0.878168,-0.6326,-0.3470,0.0218,0.722
0.884689,-0.8020,-0.2686,-0.3017,0.898
0.888890,-0.9082,-0.2578,-0.3083,0.993
0.892846,-1.1750,-0.2045,-0.1394,1.201
0.898122,-1.6012,-0.1666,-0.1154,1.614
0.903125,-2.0334,-0.2063,0.0642,2.045
0.911359,-2.2149,-0.3753,0.4374,2.289
0.913808,-2.0574,-0.5487,0.7424,2.255
0.918268,-1.9438,-0.5641,0.9187,2.223
0.923461,-1.9922,-0.6888,0.7649,2.242
0.927988,-2.0930,-0.5498,0.8065,2.309
0.933871,-2.1984,-0.3099,0.9115,2.400
0.938745,-2.1791,-0.2755,0.4155,2.235
0.945027,-2.1357,-0.2071,0.2539,2.161
0.948944,-2.0061,-0.2724,0.2481,2.040
0.953980,-1.8911,-0.2993,0.2247,1.928
0.958365,-1.8289,-0.1637,0.3300,1.866
0.963863,-1.7718,0.0234,0.2368,1.788
0.968256,-1.7150,0.1367,0.0405,1.721
0.973800,-1.4383,-0.0717,-0.2726,1.466
0.978487,-1.3583,-0.0267,-0.4099,1.419
0.984782,-1.2977,0.0276,-0.5198,1.398
0.988850,-1.2756,0.1060,-0.4881,1.370
0.993175,-1.3830,0.1460,-0.3832,1.442
0.999145,-1.4043,0.1420,-0.1909,1.424
1.003657,-1.0957,0.4542,-0.3140,1.227
1.012251,-0.9648,0.6379,-0.6326,1.318
1.014860,-0.9921,0.7650,-0.8058,1.490
1.019095,-1.0340,0.9217,-0.8335,1.617
1.023760,-0.9756,0.9830,-0.7783,1.589
1.029247,-0.7787,1.0063,-0.8550,1.533
1.033463,-0.5773,0.9536,-1.0527,1.533
1.039678,-0.4910,0.9636,-1.2170,1.628
1.044086,-0.2805,1.0169,-1.3525,1.715
1.048434,-0.0798,1.0610,-1.6312,1.948
1.053787,0.1493,1.0433,-1.8372,2.118
1.059550,0.5456,0.9643,-2.0422,2.323
1.063836,0.7883,0.9682,-2.5489,2.838
1.068405,1.1358,1.3412,-2.9172,3.406
1.074197,1.6121,1.4226,-2.9318,3.636
1.079421,2.0351,1.5242,-2.5154,3.577
1.084513,2.6536,1.5544,-1.4647,3.406
1.088776,3.2568,1.4907,-0.8576,3.683
1.093590,3.5003,1.8782,-0.3047,3.984
1.099274,3.8008,1.7122,-0.6576,4.220
1.104221,5.5224,1.1872,-4.1909,7.034
1.113187,5.1419,1.2509,-4.6482,7.043
1.116958,4.5133,1.2577,-3.2962,5.729
1.121347,4.0626,1.1686,-2.6358,4.982
1.123395,2.8567,1.1012,-1.8855,3.596
1.128925,1.3558,1.4024,-0.8891,2.144
1.134213,-0.0763,1.8725,-0.3142,1.900
1.140512,-1.0807,2.3226,0.0352,2.562
1.144064,-1.8779,2.4929,0.1635,3.125
1.148550,-2.3391,2.2979,-0.0724,3.280
1.153971,-2.6464,2.1262,-0.5122,3.433
1.159799,-2.8142,1.9587,-0.8052,3.522
1.163646,-2.8045,1.7675,-0.9127,3.438
1.169001,-2.7611,1.6583,-0.8073,3.320
1.174976,-2.6459,1.6649,-0.6008,3.183
1.179782,-2.5214,1.8017,-0.4479,3.131
1.184247,-2.3397,1.7768,-0.3639,2.960
1.188669,-2.1153,1.6151,-0.3536,2.685
1.193817,-1.8530,1.4036,-0.3974,2.358
1.199094,-1.7300,1.3769,-0.3331,2.236
1.204466,-1.5213,1.2999,-0.2711,2.019
1.210589,-1.0355,1.1492,-0.2981,1.575
