time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003284,2.7403,-1.0191,-1.8965,3.485
0.003937,2.9985,-1.0717,-1.8753,3.695
0.007302,3.3142,-1.1089,-1.7565,3.911
0.011842,3.4144,-1.0832,-1.5554,3.905
0.021018,3.6486,-1.1145,-1.1768,3.992
0.021805,3.8967,-1.1359,-0.8521,4.147
0.029432,4.0532,-1.0995,-0.7115,4.260
0.033233,4.0895,-0.9344,-0.6686,4.248
0.037416,4.0343,-0.8326,-0.4986,4.149
0.041504,3.9356,-0.8421,-0.4316,4.048
0.047484,3.8317,-0.9051,-0.6776,3.995
0.052442,3.6320,-0.9826,-0.9814,3.888
0.057163,3.5523,-0.9642,-1.0980,3.841
0.060677,3.4920,-0.8976,-1.0599,3.758
0.066968,3.2886,-0.7785,-1.0202,3.530
0.071661,3.1576,-0.7127,-0.9407,3.371
0.077266,3.1276,-0.7477,-0.8115,3.317
0.081346,2.9879,-0.7734,-0.6330,3.151
0.088646,2.7722,-0.7085,-0.5533,2.914
0.091976,2.4473,-0.6634,-0.6196,2.610
0.097622,2.3052,-0.6191,-0.6400,2.471
0.101693,2.1877,-0.5703,-0.5190,2.320
0.107355,1.9465,-0.5033,-0.2718,2.029
0.110886,1.6484,-0.4855,-0.0328,1.719
0.117175,1.4945,-0.5120,0.1927,1.591
0.121623,1.3552,-0.4773,0.3470,1.478
0.130099,1.1972,-0.4339,0.4589,1.354
0.131886,1.0682,-0.4345,0.5664,1.285
0.137903,1.0112,-0.5122,0.8083,1.392
0.142087,0.9111,-0.5806,1.1503,1.578
0.147518,0.7918,-0.6636,1.5003,1.822
0.152354,0.6244,-0.6559,1.5898,1.830
0.156693,0.5812,-0.6583,1.5098,1.747
0.161460,0.5568,-0.6706,1.4712,1.710
0.166666,0.3502,-0.6879,1.4883,1.677
0.171181,0.0621,-0.7437,1.5084,1.683
0.179456,-0.1445,-0.7370,1.4939,1.672
0.183675,-0.3606,-0.8015,1.4452,1.692
0.187913,-0.6242,-0.8317,1.5358,1.855
0.191374,-0.7485,-0.7460,1.8181,2.103
0.197285,-0.8582,-0.5873,2.0761,2.322
0.203514,-1.0587,-0.4470,2.3676,2.632
0.208157,-1.2014,-0.3873,2.6397,2.926
0.212724,-1.3248,-0.3698,2.8302,3.147
0.216511,-1.4479,-0.4183,2.6954,3.088
0.221767,-1.6710,-0.4893,2.5617,3.097
0.227385,-1.8554,-0.5309,2.6254,3.258
0.238353,-1.8673,-0.5100,2.6653,3.294
0.238978,-1.8696,-0.5800,2.5230,3.193
0.241370,-1.9629,-0.6933,2.1605,3.000
0.247511,-1.9509,-0.8737,1.7789,2.781
0.254215,-1.8673,-0.9678,1.4978,2.582
