time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.612171,-0.1887,0.0220,0.0856,0.208
0.617592,-0.2412,0.0119,0.0850,0.256
0.625295,-0.2600,0.0209,0.1035,0.281
0.629637,-0.2643,0.0207,0.1171,0.290
0.634235,-0.2732,0.0447,0.0925,0.292
0.638400,-0.2722,0.0262,0.0682,0.282
0.643155,-0.2710,0.0082,0.0488,0.275
0.649765,-0.2740,-0.0044,0.0059,0.274
0.653465,-0.2669,-0.0119,-0.0271,0.269
0.657580,-0.2642,-0.0096,-0.0171,0.265
0.662297,-0.2613,-0.0120,-0.0071,0.262
0.667342,-0.2394,-0.0191,0.0361,0.243
0.673153,-0.1941,0.0022,-0.0114,0.194
0.679040,-0.1494,-0.0100,-0.0063,0.150
0.683310,-0.1055,-0.0224,-0.0534,0.120
0.691577,-0.0479,-0.0110,-0.1239,0.133
0.695904,0.0185,-0.0425,-0.1844,0.190
0.696593,0.0746,-0.0312,-0.2396,0.253
0.702473,0.1158,-0.0152,-0.2516,0.277
0.707178,0.1800,-0.0135,-0.2160,0.282
0.717619,0.2433,-0.0024,-0.1950,0.312
0.719218,0.2959,0.0086,-0.0935,0.310
0.722654,0.3239,-0.0045,-0.0688,0.331
0.727287,0.3182,-0.0033,-0.0491,0.322
0.735870,0.2556,-0.0119,-0.0486,0.260
0.738134,0.1699,-0.0160,-0.0623,0.182
0.743860,0.0950,-0.0106,-0.0901,0.131
0.751269,0.0119,-0.0433,-0.0891,0.100
0.753121,-0.0411,-0.0327,-0.1546,0.163
0.758006,-0.0786,-0.0411,-0.1625,0.185
0.765869,-0.1200,-0.0394,-0.1323,0.183
0.767266,-0.1608,-0.0231,-0.1355,0.212
0.775097,-0.1821,-0.0113,-0.1245,0.221
0.777517,-0.2081,0.0294,-0.0993,0.232
0.782068,-0.2342,0.0321,-0.0885,0.252
0.787391,-0.2415,0.0399,-0.0779,0.257
0.792478,-0.2400,0.0525,-0.0200,0.246
0.803239,-0.2251,0.0460,-0.0148,0.230
0.803826,-0.1970,0.0490,0.0093,0.203
0.808778,-0.1655,0.0471,0.0758,0.188
0.811720,-0.1214,0.0402,0.1892,0.228
0.817865,-0.0981,0.0331,0.2826,0.301
0.825610,-0.0717,0.0397,0.3560,0.365
0.833001,-0.0417,0.0267,0.3765,0.380
0.833459,-0.0412,0.0132,0.4158,0.418
0.837605,-0.0786,-0.0150,0.3788,0.387
0.842411,-0.1055,-0.0292,0.3136,0.332
0.848990,-0.1452,-0.0626,0.2537,0.299
0.852328,-0.1591,-0.1102,0.1755,0.261
0.858585,-0.1948,-0.1240,0.1266,0.263
0.862548,-0.2090,-0.1374,0.0736,0.261
0.868273,-0.2115,-0.1315,0.0306,0.251
0.875046,-0.2076,-0.1442,0.0071,0.253
0.877367,-0.1881,-0.1090,-0.0018,0.217
0.882159,-0.1631,-0.0833,-0.0011,0.183
0.887666,-0.1472,-0.0719,-0.0193,0.165
0.895090,-0.1122,-0.0557,-0.0421,0.132
0.897699,-0.0681,-0.0492,-0.0552,0.100
0.902514,-0.0485,-0.0617,-0.0635,0.101
0.908052,-0.0109,-0.0456,-0.0717,0.086
0.914064,0.0063,-0.0487,-0.0942,0.106
0.919399,0.0221,-0.0470,-0.1167,0.128
0.922280,0.0505,-0.0406,-0.1485,0.162
0.930664,0.0488,-0.0437,-0.1945,0.205
0.933675,0.0603,-0.0276,-0.2021,0.213
0.937997,0.0612,-0.0210,-0.2478,0.256
0.943313,0.0660,-0.0427,-0.2647,0.276
0.948442,0.0704,-0.0354,-0.2957,0.306
0.953049,0.0887,-0.0469,-0.2410,0.261
0.957640,0.0927,-0.0438,-0.2722,0.291
0.963286,0.1112,-0.0309,-0.2699,0.294
0.968434,0.1442,-0.0322,-0.2153,0.261
0.973777,0.1538,-0.0618,-0.1991,0.259
0.978228,0.1452,-0.0529,-0.1735,0.232
0.983846,0.1519,-0.0488,-0.1432,0.214
0.988113,0.1407,-0.0638,-0.1131,0.191
0.996590,0.1354,-0.0691,-0.0547,0.162
1.000330,0.1122,-0.0888,-0.0061,0.143
1.002101,0.0853,-0.0990,0.0421,0.137
1.007591,0.0642,-0.0950,0.0853,0.143
1.012429,0.0058,-0.0913,0.1329,0.161
1.016905,-0.0186,-0.0737,0.1564,0.174
1.026606,-0.0522,-0.0566,0.2082,0.222
1.032320,-0.0762,-0.0302,0.2406,0.254
1.032929,-0.1099,0.0004,0.2631,0.285
1.038715,-0.1104,0.0259,0.2475,0.272
1.042918,-0.1255,0.0556,0.2414,0.278
1.049164,-0.1171,0.0662,0.1831,0.227
1.052962,-0.0946,0.0862,0.1681,0.211
1.058171,-0.0770,0.0826,0.1769,0.210
1.063890,-0.0596,0.1078,0.1714,0.211
1.069227,-0.0424,0.0997,0.1707,0.202
1.072919,-0.0300,0.0872,0.2176,0.236
1.079718,-0.0368,0.0418,0.1833,0.192
1.084188,-0.0196,0.0539,0.1541,0.164
1.091429,-0.0450,0.0135,0.1251,0.134
1.094922,-0.0698,0.0068,0.0869,0.112
1.099471,-0.0848,-0.0238,0.0824,0.121
1.101994,-0.1040,-0.0259,0.0351,0.113
1.109242,-0.1277,-0.0233,0.0358,0.135
1.114570,-0.1322,-0.0115,0.0507,0.142
1.119066,-0.1559,-0.0237,0.0322,0.161
1.124493,-0.1559,-0.0171,0.0329,0.160
1.131162,-0.1657,-0.0201,0.0003,0.167
1.132930,-0.1613,0.0004,-0.0464,0.168
1.142163,-0.1381,-0.0030,-0.0308,0.142
1.144946,-0.1298,-0.0064,-0.0107,0.130
1.150324,-0.1078,0.0138,-0.0146,0.110
1.153496,-0.1003,0.0196,-0.0517,0.115
1.160080,-0.0788,0.0111,-0.0885,0.119
1.163598,-0.0624,0.0075,-0.0585,0.086
1.171333,-0.0271,-0.0102,-0.0431,0.052
1.173086,0.0076,-0.0183,-0.0135,0.024
1.179246,0.0322,-0.0359,0.0064,0.049
1.183747,0.0419,-0.0487,0.0117,0.065
1.191897,0.0559,-0.0710,0.0550,0.106
1.193533,0.0643,-0.0791,0.0930,0.138
1.199470,0.0625,-0.0873,0.0832,0.136
1.202607,0.0838,-0.0721,0.0733,0.133
1.207424,0.1041,-0.0716,0.0777,0.148
1.214078,0.1283,-0.0759,0.0677,0.164
1.219069,0.1374,-0.0613,0.0245,0.152
1.223597,0.1507,-0.0612,0.0290,0.165
1.229933,0.1825,-0.0277,0.0002,0.185
1.233485,0.2044,-0.0086,-0.0473,0.210
1.238493,0.2026,0.0343,-0.0517,0.212
1.242728,0.1962,0.0534,-0.0560,0.211
1.249439,0.1903,0.0631,-0.0745,0.214
1.252579,0.1802,0.0540,-0.0642,0.199
1.258192,0.1565,0.0738,-0.0540,0.181
1.263229,0.1382,0.0746,-0.0342,0.161
1.268710,0.1207,0.0516,-0.0098,0.132
1.273384,0.0895,0.0384,0.0191,0.099
1.277971,0.0683,0.0392,0.0337,0.086
1.283198,0.0332,0.0019,0.0433,0.055
1.291071,-0.0063,-0.0021,0.0434,0.044
1.292748,-0.0455,-0.0063,0.0625,0.078
1.298353,-0.0942,-0.0154,0.0386,0.103
1.302986,-0.1190,-0.0103,0.0149,0.120
1.308073,-0.1437,-0.0054,0.0104,0.144
1.312399,-0.1544,0.0042,0.0153,0.155
1.318298,-0.1749,0.0137,0.0059,0.176
1.323569,-0.1671,0.0232,0.0013,0.169
1.330924,-0.1693,0.0373,-0.0080,0.174
1.332978,-0.1575,0.0417,-0.0079,0.163
1.337955,-0.1509,0.0461,-0.0125,0.158
1.344146,-0.1259,0.0361,-0.0314,0.135
1.348889,-0.1108,0.0405,-0.0549,0.130
1.352847,-0.1057,0.0399,-0.0545,0.125
1.358957,-0.0726,0.0298,-0.0732,0.107
1.364107,-0.0639,0.0294,-0.0775,0.105
1.368860,-0.0462,0.0242,-0.0961,0.109
1.375060,-0.0385,0.0002,-0.0908,0.099
1.378032,-0.0313,-0.0045,-0.0904,0.096
1.384682,-0.0103,0.0003,-0.0853,0.086
1.390775,0.0102,-0.0042,-0.0755,0.076
1.393494,0.0066,0.0009,-0.0610,0.061
1.398344,0.0170,-0.0130,-0.0562,0.060
1.402441,0.0320,-0.0173,-0.0372,0.052
1.408762,0.0182,-0.0167,-0.0374,0.045
1.414312,0.0284,-0.0113,-0.0566,0.064
1.418291,0.0291,-0.0012,-0.0233,0.037
1.424274,0.0301,0.0138,-0.0235,0.041
1.428530,0.0456,0.0097,-0.0094,0.048
1.433288,0.0424,0.0295,-0.0097,0.053
1.439543,0.0396,0.0112,-0.0099,0.042
1.444002,0.0374,0.0027,-0.0195,0.042
1.450219,0.0216,0.0228,-0.0147,0.035
1.454487,0.0255,-0.0094,0.0091,0.029
1.458122,0.0201,-0.0224,0.0280,0.041
1.463503,0.0152,-0.0304,0.0468,0.058
1.469075,-0.0038,-0.0385,0.0560,0.068
1.474914,-0.0130,-0.0609,0.0556,0.083
1.479083,-0.0411,-0.0689,0.0694,0.106
1.483905,-0.0359,-0.0676,0.0689,0.103
1.491592,-0.0546,-0.0713,0.0731,0.116
1.494667,-0.0639,-0.0845,0.0629,0.123
1.499794,-0.0688,-0.1073,0.0623,0.142
1.502928,-0.0549,-0.0969,0.0664,0.130
1.508560,-0.0511,-0.0723,0.0467,0.100
1.514906,-0.0428,-0.0766,0.0271,0.092
1.519969,-0.0348,-0.0573,0.0077,0.067
1.523020,-0.0270,-0.0571,-0.0116,0.064
1.528637,-0.0100,-0.0617,-0.0213,0.066
1.534706,0.0021,-0.0616,-0.0262,0.067
1.538529,0.0045,-0.0471,-0.0405,0.062
1.544617,0.0211,-0.0422,-0.0262,0.054
1.549113,0.0328,-0.0421,-0.0357,0.064
1.554029,0.0538,-0.0467,-0.0120,0.072
1.558212,0.0556,-0.0274,-0.0074,0.062
1.566703,0.0574,-0.0177,0.0066,0.060
1.568349,0.0688,-0.0270,0.0158,0.076
1.575403,0.0612,-0.0219,0.0486,0.081
1.578983,0.0491,-0.0122,0.0622,0.080
1.583836,0.0373,-0.0167,0.0853,0.095
1.592638,0.0258,-0.0067,0.0701,0.075
1.593448,-0.0186,0.0031,0.0504,0.054
1.600013,-0.0100,-0.0110,0.0403,0.043
1.603056,-0.0204,0.0084,0.0304,0.038
1.609114,-0.0304,0.0181,0.0110,0.037
1.615788,-0.0402,0.0133,-0.0034,0.042
1.619277,-0.0499,0.0227,-0.0319,0.063
