time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003534,0.1994,-0.0905,-0.5467,0.589
0.003958,0.1257,-0.0109,-0.5564,0.571
0.004855,0.0354,0.0225,-0.4472,0.449
0.013335,-0.0299,0.0529,-0.3341,0.340
0.013653,0.0489,0.0707,-0.3692,0.379
0.020763,0.1468,0.0190,-0.1664,0.223
0.024750,0.1240,-0.0400,-0.1602,0.206
0.029595,0.0720,-0.0636,-0.2918,0.307
0.034422,0.0535,-0.0903,-0.3748,0.389
0.038937,0.0685,-0.0821,-0.3764,0.391
0.043257,0.0315,-0.0300,-0.3637,0.366
0.049436,-0.0001,0.0133,-0.3036,0.304
0.055291,-0.0076,0.0334,-0.2060,0.209
0.058806,-0.0152,0.0160,-0.0618,0.066
0.064750,-0.0044,-0.0293,0.0623,0.069
0.068992,-0.0276,-0.0598,0.0950,0.116
0.075304,-0.0321,-0.0570,0.0942,0.115
0.079414,-0.0320,-0.0447,0.0934,0.108
0.084292,-0.0418,-0.0234,0.1306,0.139
0.088402,-0.0517,-0.0169,0.1532,0.163
0.094190,-0.0239,-0.0157,0.1139,0.117
0.099574,0.0083,0.0041,0.0749,0.075
0.104958,0.0733,-0.0240,0.0553,0.095
0.109020,0.1332,-0.0190,-0.0260,0.137
0.115552,0.1787,-0.0189,-0.0828,0.198
0.124739,0.1959,-0.0142,-0.0964,0.219
0.125209,0.2040,-0.0142,-0.1573,0.258
0.128160,0.1890,-0.0047,-0.1418,0.236
0.133970,0.1461,0.0380,-0.1405,0.206
0.140625,0.0614,0.0234,-0.1441,0.158
0.147355,0.0158,-0.0196,-0.0953,0.099
0.149645,-0.0150,-0.0291,-0.0802,0.087
0.155011,-0.0549,-0.0338,-0.0842,0.106
0.160298,-0.0657,-0.0385,-0.0977,0.124
0.164577,-0.0526,-0.0479,-0.0968,0.120
0.170764,-0.0488,-0.0286,-0.1576,0.168
0.176014,-0.0062,-0.0520,-0.2655,0.271
0.179944,0.0177,-0.0321,-0.1871,0.191
0.183912,0.0082,-0.0643,-0.0572,0.086
0.189835,-0.0207,-0.0578,0.0004,0.061
0.197885,-0.0832,-0.0130,0.0575,0.102
0.200596,-0.1702,0.0743,0.1474,0.237
0.205676,-0.2677,0.1087,0.2317,0.370
0.208428,-0.3520,0.1663,0.2962,0.489
0.214332,-0.3426,0.1708,0.3364,0.510
0.222944,-0.2683,0.1557,0.3620,0.477
0.224636,-0.2007,0.0831,0.3256,0.391
0.232494,-0.0958,0.0532,0.2419,0.266
0.236272,-0.0205,0.0371,0.3300,0.333
0.242348,-0.0133,0.0254,0.2891,0.290
0.249649,-0.0066,0.0087,0.1439,0.144
0.250258,0.0181,-0.0221,0.1188,0.122
0.256768,-0.0254,-0.0290,0.0795,0.088
0.259782,-0.0650,-0.0071,0.0264,0.071
0.265645,-0.0439,0.0243,0.1161,0.127
0.269288,-0.0296,0.0462,0.1576,0.167
0.275185,-0.0509,0.0636,0.1322,0.155
0.278895,-0.0688,0.1002,0.0453,0.130
0.283772,-0.0253,0.1322,-0.0266,0.137
0.288475,0.0133,0.1216,-0.1882,0.224
0.295726,0.1098,0.0976,-0.2961,0.331
0.299008,0.1789,0.0696,-0.4173,0.459
0.303597,0.2258,0.0283,-0.4425,0.498
