time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003070,0.1962,-0.0261,-0.2723,0.337
0.003419,0.1749,-0.0349,-0.2463,0.304
0.007244,0.1406,0.0088,-0.1635,0.216
0.013492,0.0741,0.0286,-0.0672,0.104
0.017390,0.0131,0.0386,0.0093,0.042
0.022661,-0.0284,0.0532,0.0756,0.097
0.027606,-0.0414,0.0247,0.1129,0.123
0.032666,-0.0644,0.0342,0.1309,0.150
0.037494,-0.0591,-0.0089,0.1061,0.122
0.045286,-0.0495,-0.0328,0.0672,0.090
0.047899,-0.0497,-0.0423,0.0287,0.071
0.053337,-0.0312,-0.0470,0.0000,0.056
0.058022,-0.0319,-0.0326,-0.0094,0.047
0.062826,-0.0279,-0.0326,-0.0188,0.047
0.068366,-0.0192,-0.0276,-0.0185,0.038
0.072835,-0.0058,-0.0227,-0.0183,0.030
0.077516,-0.0065,-0.0083,-0.0133,0.017
0.083007,0.0024,0.0012,-0.0084,0.009
0.088051,0.0257,0.0011,-0.0083,0.027
0.093099,0.0395,-0.0085,0.0013,0.040
0.100021,0.0531,-0.0132,0.0203,0.058
0.102923,0.0428,-0.0132,0.0154,0.047
0.107753,0.0373,-0.0323,0.0153,0.052
0.112340,0.0270,-0.0179,0.0009,0.032
0.117931,0.0216,0.0010,-0.0038,0.022
0.122580,0.0163,0.0008,0.0105,0.019
0.128361,0.0015,-0.0043,0.0057,0.007
0.132960,0.0104,-0.0047,-0.0085,0.014
0.137235,0.0052,-0.0050,-0.0037,0.008
0.145188,-0.0000,-0.0149,0.0059,0.016
0.148521,-0.0003,-0.0200,0.0011,0.020
0.153649,-0.0149,-0.0108,-0.0226,0.029
0.157635,-0.0244,-0.0064,-0.0319,0.041
0.162964,-0.0241,-0.0210,-0.0317,0.045
0.171590,-0.0381,-0.0116,-0.0219,0.045
0.172021,-0.0282,-0.0212,-0.0170,0.039
0.177919,-0.0326,-0.0022,0.0022,0.033
0.183308,-0.0180,-0.0165,0.0307,0.039
0.187916,-0.0084,-0.0117,0.0399,0.042
0.195094,-0.0181,-0.0212,0.0349,0.045
0.203968,-0.0136,0.0026,0.0441,0.046
0.204334,0.0052,0.0025,0.0438,0.044
0.208900,0.0000,-0.0025,0.0197,0.020
0.214083,0.0092,0.0116,0.0148,0.021
0.219774,0.0279,0.0064,-0.0138,0.032
0.221999,0.0277,-0.0128,-0.0232,0.038
0.228528,0.0324,-0.0034,-0.0420,0.053
0.233387,0.0466,-0.0178,-0.0179,0.053
0.237966,0.0322,-0.0319,-0.0178,0.049
0.243717,0.0321,-0.0318,-0.0082,0.046
0.247851,0.0269,-0.0363,-0.0271,0.053
0.253814,0.0456,-0.0266,-0.0174,0.056
0.258367,0.0355,-0.0170,-0.0219,0.045
0.262428,0.0301,-0.0313,-0.0265,0.051
0.267858,0.0344,-0.0026,-0.0263,0.043
0.272310,0.0386,-0.0218,-0.0213,0.049
0.277422,0.0381,-0.0028,-0.0116,0.040
0.282917,0.0378,0.0066,0.0075,0.039
0.290794,0.0138,0.0017,0.0170,0.022
0.293107,-0.0049,0.0111,0.0216,0.025
0.298368,-0.0280,0.0061,0.0261,0.039
0.302665,-0.0556,-0.0178,0.0211,0.062
0.308436,-0.0591,-0.0082,0.0161,0.062
0.312781,-0.0819,-0.0034,0.0159,0.083
0.317950,-0.0618,-0.0034,0.0253,0.067
0.322529,-0.0659,-0.0131,0.0346,0.076
0.328458,-0.0416,0.0010,0.0533,0.068
0.336817,-0.0320,0.0195,0.0434,0.057
0.337418,-0.0133,0.0141,0.0145,0.024
0.345132,-0.0044,0.0276,-0.0093,0.029
0.347809,0.0091,0.0410,-0.0281,0.051
0.352697,0.0271,0.0306,-0.0183,0.045
0.357659,0.0307,0.0109,0.0056,0.033
0.362283,0.0392,0.0390,0.0152,0.057
0.367961,0.0333,0.0193,0.0246,0.046
0.372700,0.0420,0.0094,0.0339,0.055
0.377133,0.0269,0.0187,0.0099,0.034
0.382620,0.0262,0.0185,0.0051,0.032
0.387498,0.0210,0.0040,-0.0186,0.028
0.394827,0.0206,-0.0054,-0.0375,0.043
0.403415,0.0156,-0.0194,-0.0657,0.070
0.403857,0.0107,-0.0142,-0.0699,0.072
0.407572,0.0154,-0.0044,-0.0788,0.080
0.412417,0.0249,0.0007,-0.0687,0.073
0.417820,0.0342,-0.0181,-0.0443,0.059
0.422176,0.0339,-0.0084,-0.0250,0.043
0.427896,0.0429,0.0108,-0.0057,0.045
0.432771,0.0424,0.0202,-0.0009,0.047
0.437272,0.0416,0.0153,0.0371,0.058
0.445286,0.0457,0.0103,0.0416,0.063
0.448278,0.0544,0.0054,0.0508,0.075
0.452266,0.0345,0.0053,0.0361,0.050
0.457922,0.0529,0.0148,0.0358,0.066
0.462918,0.0380,0.0146,0.0213,0.046
0.468234,0.0281,0.0050,0.0021,0.029
0.473326,0.0090,0.0144,-0.0026,0.017
0.477763,0.0235,-0.0096,-0.0169,0.030
0.483155,-0.0001,-0.0049,-0.0358,0.036
0.488922,-0.0138,0.0140,-0.0450,0.049
0.493132,-0.0179,0.0041,-0.0589,0.062
0.497547,-0.0220,0.0182,-0.0490,0.057
0.502534,-0.0310,0.0180,-0.0438,0.057
0.507873,-0.0353,0.0084,-0.0340,0.050
0.512270,-0.0301,0.0038,-0.0052,0.031
0.517353,-0.0396,0.0135,-0.0004,0.042
0.522735,-0.0348,0.0139,0.0281,0.047
0.528508,-0.0398,0.0096,0.0469,0.062
0.532527,-0.0497,0.0196,0.0608,0.081
0.538292,-0.0549,0.0154,0.0556,0.080
0.545718,-0.0699,0.0112,0.0410,0.082
0.548372,-0.0848,0.0213,0.0264,0.091
0.553742,-0.0949,0.0027,0.0073,0.095
0.558191,-0.1001,0.0079,-0.0402,0.108
0.563018,-0.0909,0.0035,-0.0635,0.111
0.569071,-0.0816,0.0084,-0.0914,0.123
0.573356,-0.0671,0.0228,-0.1049,0.127
0.579697,-0.0383,0.0179,-0.0945,0.104
0.582787,-0.0331,0.0511,-0.0842,0.104
0.589746,-0.0326,0.0650,-0.0693,0.100
0.595095,-0.0132,0.0599,-0.0260,0.067
0.598407,-0.0320,0.0786,0.0312,0.090
0.602929,-0.0131,0.0782,0.0785,0.112
0.608395,0.0053,0.0874,0.1302,0.157
0.612502,0.0087,0.0774,0.1719,0.189
0.617703,0.0400,0.0721,0.2039,0.220
0.623427,0.0800,0.1000,0.1929,0.231
0.629341,0.1144,0.0655,0.1867,0.229
0.632931,0.1437,0.0407,0.1379,0.203
0.637782,0.1725,0.0206,0.0990,0.200
0.645287,0.1917,0.0101,0.0509,0.199
0.648603,0.2065,-0.0336,-0.0254,0.211
0.653507,0.2170,-0.0293,-0.0725,0.231
0.658180,0.2091,-0.0675,-0.1145,0.248
0.663651,0.1881,-0.1003,-0.1706,0.273
0.668466,0.1636,-0.1277,-0.1930,0.283
0.673305,0.1451,-0.1543,-0.1820,0.279
0.678172,0.0944,-0.2041,-0.1522,0.272
