time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002561,0.0404,-0.0417,0.0739,0.094
0.002826,0.0636,-0.0464,0.0955,0.124
0.004744,0.0629,-0.0224,0.0358,0.076
0.018742,0.0194,-0.0032,-0.0427,0.047
0.019154,-0.0142,0.0063,-0.0400,0.043
0.019793,-0.0523,0.0112,-0.0091,0.054
0.024311,-0.0807,-0.0029,-0.0073,0.081
0.029798,-0.1041,-0.0170,-0.0152,0.107
0.035003,-0.1178,0.0166,-0.0705,0.138
0.042819,-0.0886,0.0119,-0.1157,0.146
0.044568,-0.0453,-0.0449,-0.1271,0.142
0.049904,-0.0689,-0.0393,-0.1334,0.155
0.054690,-0.0306,-0.0432,-0.1489,0.158
0.060278,0.0027,-0.0470,-0.1641,0.171
0.065446,-0.0165,-0.0269,-0.1503,0.154
0.070363,-0.0070,-0.0403,-0.0418,0.058
0.082895,0.0071,-0.0110,0.0040,0.014
0.083296,0.0259,-0.0391,0.0113,0.048
0.087999,0.0397,-0.0291,-0.0004,0.049
0.093580,0.0297,-0.0193,-0.0403,0.054
0.096826,0.0483,-0.0097,-0.0606,0.078
0.100537,0.0477,-0.0097,-0.0521,0.071
0.106778,0.0092,-0.0239,-0.0391,0.047
0.112592,0.0089,-0.0571,-0.0782,0.097
0.117894,-0.0103,-0.0186,-0.1405,0.142
0.119562,-0.0055,-0.0230,-0.1499,0.152
0.124404,-0.0008,-0.0226,-0.0877,0.091
0.129505,-0.0103,-0.0362,-0.0115,0.039
0.134927,-0.0435,-0.0307,0.0356,0.064
0.142686,-0.0812,-0.0110,0.0447,0.093
0.144470,-0.0520,-0.0058,0.0490,0.072
0.150375,-0.0420,-0.0007,0.0583,0.072
0.154989,-0.0227,-0.0003,0.0865,0.089
0.160458,-0.0082,-0.0047,0.0861,0.087
0.164769,-0.0081,0.0051,0.0905,0.091
0.170314,0.0016,0.0054,0.0951,0.095
0.175994,0.0111,0.0010,0.0761,0.077
0.180362,0.0112,-0.0081,0.0717,0.073
0.184854,0.0112,-0.0076,0.0724,0.074
0.190205,0.0113,-0.0261,0.0494,0.057
0.195225,0.0113,0.0031,0.0030,0.012
0.201457,0.0304,-0.0108,-0.0241,0.040
0.205018,0.0398,-0.0009,-0.0082,0.041
0.213544,0.0586,-0.0101,0.0029,0.060
0.220279,0.0868,0.0047,-0.0147,0.088
0.220647,0.0720,0.0289,-0.0275,0.082
0.225807,0.0573,0.0291,-0.0447,0.078
0.229943,0.0237,0.0388,-0.0380,0.059
0.234987,0.0189,0.0198,-0.0026,0.028
0.243632,0.0095,-0.0038,-0.0150,0.018
0.244735,-0.0047,-0.0177,-0.0177,0.025
0.249791,-0.0425,0.0160,-0.0013,0.045
0.255168,-0.0371,0.0305,-0.0087,0.049
0.260054,-0.0176,0.0211,0.0078,0.029
0.267225,-0.0410,0.0166,-0.0089,0.045
0.270366,-0.0214,0.0074,-0.0161,0.028
0.277116,-0.0258,0.0125,0.0005,0.029
0.279639,-0.0348,0.0270,0.0026,0.044
0.285337,-0.0343,0.0507,-0.0191,0.064
0.295157,-0.0244,0.0598,-0.0454,0.079
0.295880,-0.0192,0.0498,-0.0573,0.078
0.312545,-0.0141,0.0636,-0.0452,0.079
0.312970,0.0147,0.0630,-0.0288,0.071
0.313160,0.0004,0.0338,-0.0032,0.034
0.315915,0.0291,-0.0096,-0.0207,0.037
0.319355,0.0290,-0.0003,-0.0761,0.081
0.325651,0.0336,-0.0290,-0.1025,0.112
0.331586,-0.0235,-0.0287,-0.1426,0.147
0.334912,-0.0564,-0.0333,-0.1111,0.129
0.340837,-0.0510,-0.0379,-0.0705,0.095
0.344995,-0.0552,0.0050,-0.0870,0.103
0.349417,-0.0546,-0.0095,-0.0938,0.109
0.355777,-0.0444,-0.0049,-0.0529,0.069
0.360047,-0.0296,0.0185,-0.0076,0.036
0.365091,-0.0387,0.0133,0.0375,0.055
0.370159,-0.0049,0.0317,0.0584,0.067
0.376356,0.0048,0.0121,0.0650,0.066
0.380614,0.0478,0.0068,0.0907,0.103
0.384984,0.0666,-0.0125,0.0686,0.096
0.395776,0.0377,-0.0364,0.0753,0.092
0.396650,-0.0099,-0.0125,0.0819,0.083
0.401675,-0.0238,0.0064,0.0172,0.030
0.404595,-0.0044,-0.0081,0.0481,0.049
0.410313,-0.0469,-0.0274,-0.0543,0.077
0.414939,-0.0463,-0.0560,-0.0181,0.075
0.420927,-0.0409,-0.0417,0.0083,0.059
0.425076,0.0261,-0.0416,0.0011,0.049
0.431625,0.0261,-0.0319,-0.0679,0.079
0.436453,0.0213,-0.0032,-0.0507,0.055
0.441107,0.0024,-0.0220,-0.0051,0.023
0.446205,-0.0069,-0.0027,0.0115,0.014
0.451989,-0.0019,-0.0120,0.0469,0.048
0.456201,0.0315,-0.0118,0.0723,0.080
0.459805,0.0219,-0.0210,0.0402,0.050
0.466243,0.0219,-0.0064,0.0559,0.060
0.470264,0.0028,0.0033,0.0805,0.081
0.476424,-0.0066,-0.0348,0.1093,0.115
0.485862,0.0172,-0.0348,0.1090,0.116
0.486639,0.0266,-0.0255,0.0421,0.056
0.490612,0.0074,-0.0780,0.0896,0.119
0.496342,-0.0164,-0.0589,0.1081,0.124
0.504458,0.0027,-0.0352,0.0409,0.054
0.505403,0.0122,-0.0401,-0.0115,0.043
0.511689,-0.0021,-0.0117,-0.0490,0.050
0.514768,-0.0258,0.0070,-0.0577,0.064
0.520319,-0.0351,0.0255,-0.0333,0.055
0.525483,-0.0206,0.0341,-0.0377,0.055
0.529727,-0.0299,0.0332,-0.0611,0.076
0.536005,-0.0249,0.0417,-0.0939,0.106
0.540021,-0.0485,0.0596,-0.0932,0.121
0.545545,-0.0291,0.0249,-0.0971,0.104
0.550099,-0.0051,0.0287,-0.0914,0.096
0.555837,0.0567,0.0134,-0.1238,0.137
0.560844,0.0324,-0.0017,-0.1275,0.132
0.564635,0.0036,0.0120,-0.0695,0.071
0.571151,0.0273,-0.0267,-0.0311,0.049
0.577562,0.0556,-0.0127,-0.0265,0.063
0.580704,0.0313,0.0156,-0.0745,0.082
0.586078,0.0072,0.0343,-0.0701,0.078
0.596151,-0.0263,0.0623,-0.0471,0.082
0.596870,-0.0167,0.0424,-0.0008,0.046
0.600597,-0.0310,0.0322,-0.0264,0.052
0.607477,0.0309,0.0126,-0.0706,0.078
0.613287,-0.0218,-0.0163,-0.0383,0.047
0.620256,0.0163,-0.0307,0.0839,0.091
0.620644,0.0635,-0.0543,-0.0089,0.084
0.625587,0.0391,-0.0064,-0.0151,0.042
0.630954,0.0244,-0.0062,-0.0162,0.030
0.635582,-0.0091,-0.0202,0.0114,0.025
0.642545,0.0146,-0.0150,0.0154,0.026
0.645268,0.0430,-0.0097,0.0288,0.053
0.650339,0.0188,-0.0234,0.0183,0.035
0.655385,0.0043,-0.0227,0.0077,0.024
0.661264,-0.0338,-0.0173,-0.0172,0.042
0.665304,-0.0669,-0.0024,-0.0039,0.067
0.670436,-0.0189,-0.0258,0.0093,0.033
0.675508,0.0334,-0.0442,-0.0204,0.059
0.684205,0.0093,-0.0244,-0.0308,0.040
0.685894,0.0139,0.0048,-0.0079,0.017
0.692082,0.0137,0.0053,0.0050,0.015
0.696065,-0.0198,0.0390,0.0272,0.052
0.701784,-0.0103,0.0201,-0.0029,0.023
0.705299,0.0087,0.0060,-0.0187,0.022
0.713500,0.0132,-0.0174,-0.0203,0.030
0.715404,-0.0108,-0.0265,-0.0505,0.058
0.720958,-0.0204,0.0404,-0.0994,0.109
0.724944,-0.0441,0.0022,-0.0383,0.058
0.731017,0.0370,0.0022,-0.0060,0.037
0.736069,0.0365,0.0118,-0.0072,0.039
0.742711,0.0171,0.0356,-0.0463,0.061
0.745761,0.0264,0.0403,-0.0230,0.053
0.750147,0.0166,0.0451,0.0143,0.050
0.757767,0.0544,0.0023,0.0607,0.082
0.760128,0.0301,-0.0068,0.0310,0.044
0.764937,0.0869,0.0174,0.0207,0.091
0.771026,0.0814,0.0082,-0.0036,0.082
0.775863,0.0427,0.0324,0.0200,0.057
0.784365,0.0233,0.0183,0.0437,0.053
0.786931,0.0042,0.0234,0.0912,0.094
0.793564,0.0090,-0.0097,0.1526,0.153
0.795720,0.0897,-0.0282,0.0900,0.130
0.805002,0.0747,-0.0083,0.0231,0.079
0.805406,-0.0589,0.0304,0.0519,0.084
0.810704,-0.0630,0.0069,0.0758,0.099
0.815395,-0.0720,0.0025,0.0851,0.112
0.820106,-0.0428,-0.0115,0.0610,0.075
0.825159,-0.0757,-0.0301,0.0847,0.118
0.830619,-0.0892,0.0036,0.1179,0.148
0.835075,-0.0599,-0.0010,0.1793,0.189
0.839942,-0.0546,0.0180,0.1264,0.139
0.846040,-0.0493,0.0274,0.1550,0.165
0.851466,-0.0583,0.0127,0.2216,0.229
0.857592,0.0231,-0.0257,0.2116,0.214
0.860276,0.0278,-0.0257,0.1970,0.201
0.865443,0.0847,-0.0210,0.1777,0.198
0.870826,0.0556,0.0169,0.1393,0.151
0.878154,0.0599,0.0261,0.0726,0.098
0.882003,-0.0070,0.0492,0.0632,0.080
0.894018,-0.0307,0.0483,0.0487,0.075
0.894539,-0.0257,0.0331,-0.0230,0.048
0.896443,-0.0778,0.0417,-0.0607,0.107
0.905952,-0.1104,0.0596,-0.0647,0.141
0.906529,-0.1142,0.0821,-0.0635,0.154
0.910512,-0.1179,0.1041,-0.0808,0.177
0.916676,-0.1025,0.0830,-0.0166,0.133
0.920335,-0.0397,0.0524,0.0144,0.067
0.926774,0.0274,0.0030,-0.0207,0.034
0.931105,0.0892,-0.0269,-0.0598,0.111
0.937089,0.1552,-0.0611,-0.0889,0.189
0.941356,0.1590,-0.0853,-0.1223,0.218
0.946019,0.1295,-0.0710,-0.0981,0.177
0.951348,0.1763,-0.0994,-0.0838,0.219
0.957593,0.0564,-0.0705,-0.1172,0.148
0.960517,0.0277,-0.0894,-0.1268,0.158
0.965526,0.1323,-0.1081,-0.1606,0.234
0.971367,0.0886,-0.1309,-0.2086,0.262
0.976851,-0.0069,-0.0632,-0.1330,0.147
0.980843,-0.0731,-0.0198,-0.0628,0.098
0.985800,-0.0961,-0.0053,0.0115,0.097
0.992153,-0.0618,-0.0242,0.1087,0.127
0.998597,-0.1561,0.0236,0.0391,0.163
1.005254,-0.1166,0.0042,0.1364,0.179
1.005689,-0.1011,-0.0007,0.1570,0.187
1.010960,-0.0668,-0.0103,0.1206,0.138
1.015617,-0.0517,-0.0245,0.0989,0.114
1.021460,0.0060,-0.0336,0.0443,0.056
1.026376,-0.0175,-0.0471,-0.0290,0.058
1.032102,0.0209,-0.0700,-0.1254,0.145
1.036693,0.0400,-0.0734,-0.1832,0.201
1.041277,0.0161,-0.0435,-0.1789,0.185
