time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003081,-0.1547,0.0662,-0.1168,0.205
0.003412,-0.1343,0.0702,-0.0916,0.177
0.003572,-0.0855,0.0502,-0.0808,0.128
0.012319,-0.0324,0.0114,-0.1034,0.109
0.013803,-0.0225,0.0346,-0.1070,0.115
0.020978,-0.0271,0.0196,-0.0966,0.102
0.024577,-0.0128,0.0191,-0.0441,0.050
0.028560,0.0106,-0.0004,-0.0070,0.013
0.037145,0.0337,-0.0053,0.0196,0.039
0.039358,0.0516,-0.0055,0.0314,0.061
0.044155,0.0789,-0.0008,0.0334,0.086
0.049312,0.1249,-0.0057,0.0211,0.127
0.054101,0.1278,-0.0152,0.0280,0.132
0.058524,0.1118,-0.0197,0.0018,0.114
0.063587,0.0722,-0.0146,-0.0288,0.079
0.069320,0.0377,-0.0000,-0.0447,0.058
0.073228,0.0083,0.0145,-0.0463,0.049
0.078484,-0.0257,-0.0186,-0.0668,0.074
0.083776,-0.0499,-0.0181,-0.0541,0.076
0.089807,-0.0454,-0.0176,-0.0510,0.071
0.093810,-0.0552,-0.0267,-0.0479,0.078
0.099134,-0.0411,-0.0405,-0.0115,0.059
0.104065,-0.0461,-0.0210,-0.0086,0.051
0.112518,-0.0416,-0.0111,-0.0151,0.046
0.113321,-0.0418,0.0033,-0.0214,0.047
0.122200,-0.0324,0.0176,-0.0227,0.043
0.125857,-0.0469,0.0317,0.0046,0.057
0.129717,-0.0564,0.0600,0.0080,0.083
0.132826,-0.0469,0.0357,0.0208,0.063
0.138850,-0.0328,0.0497,0.0571,0.082
0.144289,-0.0188,0.0349,0.0787,0.088
0.152198,-0.0097,-0.0037,0.0858,0.086
0.153665,0.0325,-0.0229,0.0786,0.088
0.158198,0.0696,-0.0275,0.0285,0.080
0.163729,0.0827,-0.0272,-0.0164,0.089
0.169006,0.0719,-0.0125,-0.0086,0.073
0.173651,0.0659,-0.0217,-0.0248,0.074
0.179460,0.0647,-0.0258,-0.0408,0.081
0.183820,0.0445,-0.0108,-0.0282,0.054
0.194611,0.0293,0.0040,0.0176,0.034
0.195121,0.0285,-0.0100,0.0491,0.058
0.198786,0.0136,0.0092,0.0713,0.073
0.203283,-0.0010,0.0186,0.0842,0.086
0.208737,-0.0059,-0.0007,0.0830,0.083
0.214270,-0.0108,-0.0008,0.0438,0.045
0.219123,-0.0156,-0.0010,0.0050,0.016
0.222841,-0.0060,-0.0107,0.0333,0.035
0.229380,-0.0013,-0.0345,0.0518,0.062
0.233928,0.0177,-0.0344,0.0323,0.050
0.240164,0.0365,-0.0343,0.0082,0.051
0.243385,0.0457,-0.0150,-0.0016,0.048
0.252538,0.0452,-0.0100,-0.0161,0.049
0.254235,0.0731,0.0284,-0.1021,0.129
0.259932,0.0911,0.0335,-0.1644,0.191
0.263425,0.0517,0.0532,-0.1983,0.212
0.270412,-0.0114,0.0539,-0.2185,0.225
0.274215,-0.0601,0.0739,-0.2063,0.227
0.279427,-0.0754,0.0844,-0.1810,0.214
0.283912,-0.0720,0.1141,-0.1665,0.214
0.290451,-0.0879,0.1770,-0.1342,0.239
0.294259,-0.1136,0.1730,-0.0938,0.227
0.303345,-0.1157,0.1216,-0.0214,0.169
0.303861,-0.1035,0.0945,0.0739,0.158
0.310016,-0.0962,0.0390,0.1258,0.163
0.313882,-0.0936,0.0216,0.1967,0.219
0.319839,-0.0480,-0.0006,0.2297,0.235
0.336048,0.0117,-0.0371,0.2253,0.229
0.336819,0.0761,-0.0926,0.1842,0.220
0.337163,0.1500,-0.1334,0.1116,0.230
0.339467,0.2237,-0.1740,-0.0397,0.286
0.343641,0.2736,-0.2044,-0.1218,0.363
0.349221,0.2664,-0.2246,-0.0930,0.361
0.355324,0.2357,-0.2062,-0.0449,0.316
0.360699,0.1910,-0.1924,0.0314,0.273
0.365591,0.1514,-0.1688,0.0404,0.230
0.370771,0.1453,-0.1594,0.0444,0.220
0.373381,0.1298,-0.1356,0.0958,0.211
0.381321,0.1003,-0.0928,0.0949,0.166
0.385881,0.1474,0.0167,0.0523,0.157
0.389151,-0.0621,-0.0742,0.1439,0.173
0.393508,-0.1466,-0.1031,0.1630,0.242
0.403069,-0.2020,-0.0754,0.0960,0.236
