time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003561,0.0943,-0.0862,-0.6235,0.636
0.003872,0.1125,-0.0575,-0.2386,0.270
0.006131,0.1449,-0.0240,-0.0415,0.153
0.012719,0.1437,-0.0284,0.0689,0.162
0.014935,0.0761,0.0053,0.0836,0.113
0.020355,-0.0147,0.0247,0.0840,0.089
0.028975,-0.0288,0.0436,0.1175,0.129
0.030056,-0.0428,0.0481,0.1265,0.142
0.035652,-0.1089,0.0333,0.1875,0.219
0.045764,-0.1698,0.0658,0.1811,0.257
0.046109,-0.1874,0.0690,0.1271,0.237
0.052800,-0.1431,0.0339,0.1160,0.187
0.056149,-0.1230,0.0036,0.0811,0.147
0.062550,-0.0983,-0.0170,0.0322,0.105
0.064747,-0.0737,-0.0044,0.0121,0.075
0.070068,-0.0495,-0.0111,0.0016,0.051
0.075756,-0.0254,-0.0462,-0.0183,0.056
0.081204,-0.0015,-0.0953,-0.0189,0.097
0.084846,0.0032,-0.0679,-0.0146,0.069
0.091166,0.0127,-0.0549,0.0042,0.056
0.095350,0.0173,-0.0373,0.0086,0.042
0.103647,-0.0019,-0.0246,-0.0204,0.032
0.105610,0.0789,-0.0689,-0.1154,0.156
0.110589,0.1305,-0.0745,-0.2095,0.258
0.115247,0.1769,-0.0655,-0.2642,0.325
0.120840,0.1850,-0.0514,-0.2090,0.284
0.125021,0.1550,-0.0182,-0.1493,0.216
0.131850,0.1348,-0.0182,-0.0568,0.147
0.135807,0.1337,0.0056,-0.0316,0.138
0.141294,0.0899,0.0292,-0.0160,0.096
0.145743,0.0560,0.0384,-0.0100,0.069
0.152107,-0.0014,0.0380,0.0055,0.038
0.154915,-0.0631,0.0088,0.0206,0.067
0.160814,-0.0958,0.0178,0.0213,0.100
0.165473,-0.0712,-0.0259,0.0265,0.080
0.170221,-0.0278,-0.0313,0.0792,0.090
0.177770,0.0153,-0.0604,0.0792,0.101
0.181275,0.0104,-0.0703,0.1220,0.141
0.186491,0.0104,-0.0848,0.1550,0.177
0.190337,0.0151,-0.0755,0.1827,0.198
0.194776,0.0245,-0.0568,0.1529,0.165
0.201430,-0.0043,-0.0383,0.1325,0.138
0.215648,-0.0375,-0.0343,0.1216,0.132
0.223694,-0.0230,-0.0209,0.0917,0.097
0.224123,-0.0086,-0.0362,0.0574,0.068
0.228907,0.0057,-0.0325,0.0186,0.038
0.229391,-0.0133,-0.0286,-0.0482,0.058
0.229860,-0.0893,-0.0248,-0.0478,0.104
0.234579,-0.1265,-0.0163,-0.0474,0.136
0.240531,-0.1255,-0.0222,-0.0946,0.159
0.245491,-0.1102,-0.0328,-0.0841,0.142
0.251111,-0.0903,-0.0054,-0.0311,0.096
0.255437,-0.0325,-0.0163,0.0308,0.048
0.262312,-0.0085,0.0063,0.0398,0.041
0.265267,0.0058,-0.0094,0.0534,0.054
0.269914,0.0152,-0.0154,0.0573,0.061
0.275130,-0.0088,-0.0404,0.0422,0.059
0.280902,0.0150,-0.0509,-0.0059,0.053
0.286190,0.0196,-0.0567,-0.0725,0.094
0.294993,0.0765,-0.0815,-0.1050,0.153
0.295655,0.0949,-0.0774,-0.1512,0.195
0.303552,0.1274,-0.0876,-0.1397,0.208
0.305515,0.2072,-0.0359,-0.1279,0.246
0.311269,0.2198,-0.0607,-0.1349,0.265
0.315538,0.2086,-0.0755,-0.1130,0.249
0.321589,0.1927,-0.0949,-0.1003,0.237
0.325257,0.1675,-0.1092,-0.1017,0.224
0.331437,0.1426,-0.0900,-0.0933,0.193
0.336979,0.1083,-0.0614,-0.0708,0.143
0.342329,0.0601,-0.0378,0.0034,0.071
0.347258,0.0502,-0.0524,0.0338,0.080
0.352383,0.0451,-0.0670,0.0920,0.122
0.355789,-0.0122,-0.0766,0.0637,0.100
0.362441,-0.0786,-0.0767,0.0356,0.115
0.365024,-0.1254,-0.0719,-0.0589,0.156
0.370290,-0.1480,-0.0434,-0.1002,0.184
0.376065,-0.1847,-0.0104,-0.1507,0.239
0.382466,-0.2449,0.0366,-0.1394,0.284
0.385218,-0.1954,0.0402,-0.0667,0.210
0.390981,-0.1273,0.0390,0.0144,0.134
0.395858,-0.0882,0.0330,0.0566,0.110
0.403223,-0.0353,0.0461,0.1268,0.139
0.406699,-0.0161,0.0496,0.2103,0.217
0.412663,-0.0065,0.0861,0.3213,0.333
0.415621,-0.0636,0.0982,0.3548,0.374
0.421499,-0.0728,0.1000,0.3872,0.406
0.428448,-0.0535,0.0823,0.3805,0.393
0.430808,0.0132,0.0357,0.2735,0.276
0.440983,0.0792,-0.0013,0.1906,0.206
0.441546,0.1352,-0.0143,0.0751,0.155
0.444788,0.1336,0.0013,0.0365,0.139
0.450507,0.1084,-0.0733,-0.0069,0.131
0.455221,0.0595,-0.0521,-0.0215,0.082
0.462012,0.0348,-0.0640,-0.0931,0.118
0.465156,0.0341,-0.0947,-0.0881,0.134
0.470187,0.0097,-0.0772,-0.0257,0.082
0.475256,-0.0003,-0.0501,0.0079,0.051
0.481783,0.0136,-0.0278,0.0655,0.072
0.485725,0.0037,-0.0293,0.0708,0.077
0.491844,-0.0441,-0.0308,0.0720,0.090
0.495490,-0.0345,-0.0417,0.0832,0.099
0.503600,0.0084,-0.0430,0.0660,0.079
0.509463,0.0366,-0.0441,0.1014,0.117
0.517562,0.0979,-0.0594,0.1271,0.171
0.518843,0.1160,-0.0648,0.0625,0.147
0.522010,0.0579,-0.0414,-0.0297,0.077
0.525889,-0.0425,-0.0084,-0.1016,0.110
0.530533,-0.1514,0.0102,-0.1487,0.212
0.535062,-0.2167,0.0285,-0.1521,0.266
0.541124,-0.1673,0.0418,-0.1218,0.211
0.545193,-0.1088,0.0123,-0.1147,0.159
0.551167,-0.0365,-0.0120,-0.0784,0.087
0.555305,-0.0265,-0.0027,-0.0084,0.028
0.561506,-0.0023,0.0206,0.0473,0.052
0.565046,0.0075,0.0296,0.0981,0.103
0.570987,0.0220,0.0575,0.1342,0.148
0.575694,0.0554,0.0423,0.1462,0.162
0.581437,0.0409,0.0463,0.1529,0.165
0.585435,0.0265,0.0454,0.1540,0.163
0.590807,0.0264,0.0684,0.1116,0.133
0.596032,0.0357,0.0721,0.0687,0.106
0.601240,0.0544,0.0427,0.0590,0.091
0.605574,0.0540,0.0611,0.0683,0.106
0.610578,0.0203,0.0366,0.0678,0.080
0.615847,0.0011,0.0313,0.0437,0.054
0.620769,-0.0226,0.0355,0.0150,0.045
0.625031,-0.0272,0.0445,-0.0228,0.057
0.630836,-0.0079,0.0295,-0.0410,0.051
0.635945,-0.0078,0.0195,-0.0684,0.072
0.645264,0.0209,0.0238,-0.0763,0.083
0.646789,0.0540,0.0661,-0.1836,0.202
0.651335,0.0680,0.0510,-0.2894,0.302
0.655908,0.1009,0.0362,-0.3175,0.335
0.661642,0.0956,0.0359,-0.3113,0.328
0.664990,0.0903,0.0454,-0.2525,0.272
0.670776,0.0994,0.0644,-0.1322,0.177
0.675487,0.1178,0.0501,-0.0130,0.129
0.681372,0.0839,0.0692,0.0431,0.117
