time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001835,-1.8734,-0.4038,1.4182,2.384
0.006316,-1.7086,-0.5726,1.2516,2.194
0.010292,-1.5297,-0.6737,0.8253,1.864
0.014851,-1.3607,-0.7883,0.3121,1.603
0.019358,-1.3835,-0.8879,-0.1535,1.651
0.025900,-1.5164,-0.9060,-0.3660,1.804
0.032270,-1.4816,-0.9197,-0.2590,1.763
0.034511,-1.4566,-0.8525,0.0372,1.688
0.044590,-1.4891,-0.7575,0.3881,1.715
0.045155,-1.4402,-0.6634,0.7502,1.754
0.050741,-1.2909,-0.5891,0.9943,1.733
0.054478,-1.0509,-0.5679,0.9059,1.499
0.059331,-0.7921,-0.4557,0.7402,1.176
0.065210,-0.5864,-0.2621,0.6368,0.904
0.071362,-0.3522,-0.1023,0.5913,0.696
0.075709,-0.0705,-0.0624,0.5847,0.592
0.079623,0.1199,-0.0992,0.5588,0.580
0.086240,0.3100,-0.0504,0.5422,0.627
0.091097,0.5813,-0.0742,0.4962,0.768
0.096533,0.7756,-0.0985,0.3585,0.860
0.100367,0.8453,-0.0425,0.2442,0.881
0.105756,0.9580,0.0314,0.1770,0.975
0.111845,1.1232,0.0899,0.2668,1.158
0.118465,1.1496,0.0944,0.4124,1.225
0.121960,1.1902,0.0403,0.3983,1.256
0.126569,1.1209,-0.0005,0.2395,1.146
0.130541,0.9607,-0.0421,-0.0438,0.963
0.135253,0.8821,-0.1032,-0.2972,0.936
0.141314,0.8179,-0.1211,-0.3960,0.917
0.146866,0.6964,-0.0383,-0.3541,0.782
0.150308,0.7089,0.0447,-0.0810,0.715
0.154964,0.6737,0.1898,0.2836,0.755
0.160278,0.7437,0.2629,0.4180,0.893
0.165156,0.9380,0.2447,0.4275,1.059
0.170156,1.0077,0.2836,0.6180,1.216
0.174584,1.0008,0.3316,0.7451,1.291
0.179678,0.9604,0.3740,0.7657,1.284
0.185393,0.8770,0.3440,0.7234,1.188
0.190235,0.7076,0.2419,0.5901,0.953
0.195256,0.5432,0.1539,0.5193,0.767
0.200557,0.4651,0.0370,0.5201,0.699
0.207517,0.3920,-0.0562,0.5587,0.685
0.209990,0.2950,-0.1163,0.6493,0.723
0.215589,0.2652,-0.2299,0.7869,0.862
0.220933,0.2498,-0.3536,0.8943,0.994
0.225400,0.1339,-0.4781,0.9856,1.104
0.233327,-0.0009,-0.5797,1.0273,1.180
0.236188,-0.0733,-0.6679,1.0293,1.229
0.241643,0.0076,-0.7572,1.0681,1.309
0.248869,0.0453,-0.7902,1.1247,1.375
0.250258,0.0973,-0.8002,1.2566,1.493
0.254913,0.1445,-0.8065,1.4629,1.677
0.260309,0.2154,-0.7421,1.5995,1.776
0.264404,0.2718,-0.7552,1.5086,1.709
0.271347,0.2659,-0.8789,1.2968,1.589
0.274727,0.0781,-0.9169,1.0702,1.411
0.279944,-0.1239,-0.9795,0.8631,1.311
0.287780,-0.2635,-1.0667,0.7524,1.332
0.290035,-0.3741,-1.1500,0.7714,1.434
0.296203,-0.5085,-1.1576,0.8671,1.533
0.301257,-0.6331,-1.1473,0.8817,1.579
0.306618,-0.7336,-1.1479,0.7444,1.552
0.311613,-0.7620,-1.1018,0.7334,1.527
0.315529,-0.7902,-1.1095,0.7295,1.545
0.320242,-0.8564,-1.0654,0.6710,1.523
0.325534,-0.8889,-0.9649,0.5631,1.428
0.332563,-0.9640,-0.8126,0.2818,1.292
0.335547,-1.0196,-0.6947,-0.0621,1.235
0.340507,-1.0126,-0.6253,-0.2579,1.218
0.345746,-1.1249,-0.6138,-0.4590,1.361
0.351150,-1.3326,-0.6025,-0.5945,1.579
0.355109,-1.5351,-0.6153,-0.5559,1.745
0.360100,-1.6608,-0.6327,-0.5314,1.855
0.364851,-1.8438,-0.6120,-0.5701,2.025
0.371038,-1.9743,-0.6343,-0.3863,2.109
0.375518,-2.2963,-0.7089,-0.2160,2.413
0.379986,-2.7665,-0.8353,-0.3652,2.913
0.385777,-3.2748,-1.0271,-0.6507,3.493
0.390788,-3.8162,-1.0441,-0.7975,4.036
0.395351,-4.1990,-1.0303,-0.8044,4.398
0.401316,-4.5430,-0.9659,-0.7377,4.703
0.404761,-4.7574,-0.9272,-0.6487,4.890
0.411267,-4.8756,-0.7894,-0.6082,4.976
0.415523,-4.9696,-0.5142,-0.7875,5.058
