time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002568,0.1233,-0.1068,-0.6739,0.693
0.002964,-0.1728,-0.1944,-0.6680,0.717
0.007111,-0.4806,-0.2718,-0.4429,0.708
0.011260,-0.6576,-0.3730,-0.2954,0.812
0.016475,-0.6430,-0.4506,-0.2534,0.825
0.021327,-0.4859,-0.4000,-0.3681,0.729
0.027592,-0.2779,-0.2645,-0.4531,0.594
0.032136,-0.1475,-0.1251,-0.4182,0.461
0.037009,-0.1607,-0.0057,-0.3452,0.381
0.040542,-0.2118,0.0604,-0.2108,0.305
0.047613,-0.2007,0.0305,-0.1204,0.236
0.052232,-0.1185,-0.0421,-0.0355,0.131
0.057107,-0.0465,-0.1236,0.0292,0.135
0.062022,-0.0321,-0.1329,0.1262,0.186
0.066836,-0.0418,-0.1231,0.1978,0.237
0.074691,-0.0846,-0.1657,0.2207,0.289
0.076275,-0.0750,-0.2316,0.2525,0.351
0.082779,-0.0131,-0.2445,0.2598,0.357
0.091556,0.0054,-0.1811,0.2384,0.299
0.092125,0.0475,-0.1275,0.1458,0.199
0.104890,0.0560,-0.1173,0.0399,0.136
0.105328,0.0454,-0.0550,-0.0368,0.080
0.110768,0.0443,0.0398,-0.0895,0.108
0.111162,0.0290,0.0860,-0.1372,0.165
0.115603,0.0471,-0.0299,-0.1703,0.179
0.123802,0.0460,-0.1352,-0.2264,0.268
0.128584,0.0736,-0.2156,-0.2816,0.362
0.132534,0.0771,-0.1760,-0.3835,0.429
0.137894,0.1093,-0.0746,-0.4555,0.474
0.141201,0.1839,-0.0546,-0.4503,0.489
0.146949,0.2153,-0.0629,-0.4162,0.473
0.151782,0.0897,0.0100,-0.3724,0.383
0.157618,-0.0348,0.1202,-0.2809,0.307
0.166276,-0.0300,0.1769,-0.1898,0.261
0.172433,0.0461,0.1380,-0.1277,0.194
0.172903,0.0931,0.0897,-0.0709,0.147
0.177588,0.0589,0.0749,-0.0430,0.105
0.184771,-0.0035,0.0980,-0.0060,0.098
0.192815,-0.0560,0.1109,0.0492,0.134
0.193488,-0.0938,0.0804,0.0893,0.152
0.199084,-0.0601,-0.0545,0.1098,0.137
0.201052,-0.0171,-0.1834,0.1634,0.246
0.207440,0.0539,-0.2157,0.1451,0.266
0.211396,0.0816,-0.1902,0.0887,0.225
0.216855,0.0758,-0.1597,0.0563,0.186
0.222487,0.0509,-0.0960,0.0143,0.110
0.233020,0.0120,-0.0565,-0.0277,0.064
0.233740,-0.0171,-0.0267,-0.0412,0.052
0.240547,-0.0413,-0.0304,-0.0738,0.090
0.241070,-0.0368,0.0037,-0.0493,0.062
0.247462,-0.0372,0.0565,-0.0160,0.069
0.251743,-0.0044,0.0752,-0.0215,0.078
0.256946,0.0091,0.1031,0.0012,0.104
0.261396,-0.0155,0.0974,0.0097,0.099
0.267424,-0.0351,0.0726,0.0039,0.081
0.271493,-0.0356,0.0620,0.0076,0.072
0.277085,-0.0313,0.0846,0.0061,0.090
0.285458,-0.0700,0.1209,-0.0053,0.140
0.287071,-0.0798,0.0949,0.0354,0.129
0.291305,-0.0943,0.0829,0.0851,0.152
0.295755,-0.0898,0.0660,0.1104,0.157
0.303093,-0.0995,0.0161,0.1211,0.158
0.308272,-0.0997,-0.0570,0.0889,0.145
0.313452,-0.0951,-0.1386,-0.0141,0.169
0.318863,-0.0811,-0.2097,-0.0779,0.238
0.321417,-0.0480,-0.2416,-0.2022,0.319
0.327389,-0.0436,-0.2155,-0.3011,0.373
0.331885,-0.0297,-0.1844,-0.3745,0.419
0.340659,-0.0300,-0.1247,-0.3944,0.415
0.342746,-0.0207,-0.0370,-0.3609,0.363
0.348571,0.0076,0.0594,-0.2466,0.254
0.351408,0.0547,0.1308,-0.1236,0.188
0.356227,0.1109,0.1251,-0.0252,0.169
0.366743,0.1572,0.0716,0.0205,0.174
0.371338,0.1936,0.0041,-0.0052,0.194
0.374284,0.2441,-0.0199,-0.0541,0.251
0.382139,0.2656,-0.0199,-0.0976,0.284
0.384467,0.2586,-0.0053,-0.1072,0.280
0.390451,0.2325,0.0140,-0.0833,0.247
0.391562,0.1592,0.0332,-0.0596,0.173
0.397716,0.0913,0.0855,-0.0171,0.126
0.402304,0.0619,0.0327,0.0584,0.091
0.407007,0.0185,-0.0053,0.1855,0.187
0.411360,0.0135,-0.0334,0.2829,0.285
0.415835,0.0180,-0.0564,0.3604,0.365
0.425151,-0.0155,-0.1027,0.3707,0.385
0.429660,-0.0631,-0.1150,0.3714,0.394
0.432277,-0.1149,-0.0794,0.3198,0.349
0.437770,-0.1332,-0.0585,0.2496,0.289
0.442414,-0.1512,-0.0568,0.2036,0.260
0.449081,-0.1502,-0.0315,0.1483,0.213
0.452286,-0.1206,-0.0209,0.0839,0.148
0.457720,-0.0581,-0.0061,0.0485,0.076
0.462988,-0.0150,0.0180,-0.0057,0.024
0.468937,0.0229,0.0179,-0.0596,0.066
0.471186,0.0414,0.0461,-0.1416,0.155
0.478009,0.0598,0.0737,-0.1944,0.216
0.486206,0.0829,0.0155,-0.1990,0.216
0.487477,0.0820,-0.0942,-0.1794,0.219
0.491803,0.0622,-0.1694,-0.1407,0.229
0.496175,0.0569,-0.1249,-0.1352,0.193
0.503471,0.0612,-0.0757,-0.1245,0.158
0.510510,0.0607,0.0019,-0.1185,0.133
0.511520,0.0175,0.0883,-0.0745,0.117
0.517955,0.0458,0.0791,0.0070,0.092
0.524111,0.0930,0.0651,0.1021,0.153
0.531555,0.1065,0.0464,0.1631,0.200
0.531970,0.0961,0.0233,0.1809,0.206
0.536872,0.1096,-0.0138,0.1844,0.215
0.542412,0.1420,-0.0789,0.2168,0.271
0.548215,0.1600,-0.1383,0.2304,0.313
0.551697,0.1493,-0.1638,0.2253,0.316
0.557268,0.1293,-0.1412,0.2201,0.292
0.566193,0.0904,-0.1092,0.2053,0.249
0.569296,0.0613,-0.1108,0.2142,0.249
0.573672,0.0561,-0.1220,0.2420,0.277
