time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001712,0.2198,-0.3766,-0.0547,0.439
0.002223,0.3600,-0.3049,0.0290,0.473
0.006643,0.4896,-0.3572,0.0650,0.610
0.011639,0.5137,-0.3660,-0.0221,0.631
0.019803,0.4857,-0.3033,-0.1689,0.597
0.022431,0.4249,-0.2696,-0.2702,0.571
0.028283,0.3601,-0.1888,-0.2934,0.501
0.031200,0.2675,-0.1373,-0.2014,0.362
0.036929,0.2519,-0.0298,-0.0621,0.261
0.044420,0.2791,0.0574,0.1234,0.311
0.046342,0.2300,0.1336,0.3354,0.428
0.052909,0.1670,0.2129,0.5162,0.583
0.058378,0.1374,0.3046,0.5752,0.665
0.062488,0.1221,0.3517,0.5229,0.642
0.066529,0.1589,0.3311,0.4835,0.607
0.072328,0.1951,0.2863,0.4285,0.551
0.077349,0.1546,0.2795,0.2917,0.433
0.081738,0.1903,0.2344,0.1219,0.326
0.087169,0.2304,0.2130,0.0385,0.316
0.093936,0.1941,0.1865,-0.0918,0.284
0.098727,0.1344,0.1835,-0.2540,0.341
0.103108,0.1466,0.1087,-0.2624,0.320
0.110688,0.1871,0.0248,-0.1236,0.226
0.112573,0.2083,0.0128,0.0754,0.222
0.118324,0.1816,0.0195,0.2437,0.305
0.122105,0.2120,-0.0173,0.3291,0.392
0.126428,0.2231,-0.0782,0.3373,0.412
0.131781,0.1675,-0.0720,0.3359,0.382
0.138772,0.1598,-0.1087,0.3958,0.440
0.141261,0.1140,-0.1211,0.4926,0.520
0.146924,0.0732,-0.1480,0.5548,0.579
0.151633,0.0327,-0.1273,0.5262,0.542
0.160393,0.0210,-0.1448,0.4505,0.474
0.161980,0.0333,-0.1429,0.3711,0.399
0.168817,0.0505,-0.0977,0.3456,0.363
0.170981,0.1057,-0.0288,0.3643,0.380
0.177601,0.1037,-0.0315,0.3936,0.408
0.181616,0.0497,-0.0530,0.3762,0.383
0.186509,0.0533,-0.0504,0.2550,0.265
0.191722,0.0332,-0.1190,0.1638,0.205
0.198550,0.0465,-0.1393,0.0781,0.166
0.202434,0.0691,-0.1549,0.0643,0.181
0.207440,0.0440,-0.1325,0.0168,0.141
0.211930,0.0427,-0.1060,0.0119,0.115
0.217399,0.0745,-0.1135,0.0206,0.137
0.222424,0.1153,-0.1072,0.0710,0.173
0.227059,0.1698,-0.1396,0.0870,0.236
0.231802,0.2712,-0.1530,0.0593,0.317
0.237499,0.3003,-0.1666,-0.0022,0.343
0.244023,0.3195,-0.1896,-0.0638,0.377
0.247595,0.3622,-0.1980,-0.0257,0.414
0.252322,0.4090,-0.2347,0.1206,0.487
0.257621,0.4598,-0.3041,0.2928,0.624
0.261971,0.4527,-0.3492,0.2716,0.633
0.269747,0.4596,-0.3843,0.1449,0.616
0.272772,0.4331,-0.3761,-0.0954,0.581
0.277517,0.3783,-0.3676,-0.3474,0.632
0.281514,0.3907,-0.3492,-0.5249,0.742
0.287283,0.4081,-0.3350,-0.4808,0.714
0.293972,0.5161,-0.3726,-0.3216,0.713
0.298498,0.5617,-0.3429,-0.2049,0.689
0.303728,0.5835,-0.3372,-0.1783,0.697
0.307403,0.6244,-0.3411,-0.1789,0.734
0.312646,0.6796,-0.3640,-0.1640,0.788
0.317458,0.7630,-0.3870,-0.1388,0.867
0.322559,0.8223,-0.3863,-0.1271,0.917
0.327219,0.8622,-0.4190,-0.0816,0.962
0.336462,0.9113,-0.4183,-0.0360,1.003
0.337937,0.9744,-0.4321,0.0046,1.066
0.342396,0.9942,-0.4033,0.0354,1.073
0.347946,0.9948,-0.4224,0.0328,1.081
0.352462,0.9765,-0.4418,0.0164,1.072
0.357255,1.0203,-0.4470,0.0100,1.114
0.361897,1.0400,-0.4141,-0.0004,1.119
0.368453,1.0026,-0.3530,-0.0534,1.064
0.372014,0.9229,-0.3351,-0.1294,0.990
0.376955,0.9053,-0.3269,-0.0345,0.963
0.382464,0.9115,-0.3237,0.0161,0.967
0.387415,0.9269,-0.2969,-0.0867,0.977
0.394284,0.9086,-0.2513,-0.1751,0.959
0.398762,0.9761,-0.2534,-0.3104,1.055
0.403196,1.0006,-0.1602,-0.7614,1.267
0.407083,1.0823,-0.3428,-0.4324,1.215
0.412645,1.0924,-0.3806,-0.3711,1.215
0.418545,1.0079,-0.2798,-0.4557,1.141
0.422107,1.0386,-0.2840,-0.4614,1.171
0.427276,1.1553,-0.2974,-0.5360,1.308
0.432359,1.2193,-0.3769,-0.5077,1.373
0.437626,1.2072,-0.4932,-0.4209,1.370
0.445238,1.2572,-0.5413,-0.3719,1.418
0.447118,1.2831,-0.6501,-0.0901,1.441
0.453574,1.2468,-0.6674,-0.0299,1.415
0.460078,1.0760,0.1063,-3.0651,3.250
0.461665,1.6764,-1.1222,0.4297,2.063
0.466530,1.4335,-1.2212,0.5755,1.969
0.472809,0.9923,-1.0763,0.2082,1.479
0.477888,0.8727,-0.8900,-0.0716,1.249
0.485713,0.9105,-0.7620,-0.0186,1.187
0.487869,0.9805,-0.7391,0.1593,1.238
0.493498,1.0731,-0.6352,0.2478,1.271
0.497670,1.2026,-0.5227,0.3059,1.346
0.503990,1.3311,-0.2926,0.2304,1.382
0.506918,1.4822,-0.3449,0.4737,1.594
0.511545,1.3231,-0.4293,0.6002,1.515
0.518773,1.0089,0.0624,0.2473,1.041
0.523604,1.2688,0.2113,0.1789,1.299
0.527554,1.7551,-0.2301,0.8637,1.970
0.532439,1.6007,-0.1586,0.9729,1.880
0.537875,1.3576,0.1734,0.6548,1.517
0.545039,1.3545,0.3402,0.4835,1.478
0.547013,1.3655,0.3453,0.6851,1.566
0.552407,1.3858,0.2818,1.0720,1.775
0.558110,1.2955,0.3934,1.1403,1.770
0.562554,1.1617,0.4392,0.9435,1.560
0.567186,0.9894,0.3189,0.5776,1.189
0.572859,0.8026,-0.1341,0.2441,0.850
0.578404,0.5008,-0.5300,0.0001,0.729
0.582127,0.0367,-0.7058,-0.1817,0.730
0.587096,-0.4411,-0.9622,-0.2105,1.079
0.594023,-1.0616,-1.2362,-0.1487,1.636
