time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001555,-0.7194,-0.4355,-0.0243,0.841
0.004068,-0.5802,-0.4097,-0.0271,0.711
0.009061,-0.3994,-0.3554,-0.0293,0.535
0.014122,-0.2723,-0.3679,0.1256,0.475
0.018611,-0.2128,-0.3375,0.3551,0.534
0.025626,-0.1825,-0.2841,0.5056,0.608
0.030440,-0.0812,-0.2601,0.5539,0.617
0.033544,-0.0047,-0.2509,0.5058,0.565
0.039472,0.0236,-0.2658,0.4004,0.481
0.044732,0.0754,-0.2902,0.3093,0.431
0.049346,0.1171,-0.3098,0.2276,0.402
0.055070,0.1441,-0.3244,0.1739,0.395
0.059177,0.1565,-0.3199,0.0433,0.359
0.068631,0.1972,-0.3248,-0.0870,0.390
0.073511,0.2090,-0.3675,-0.2025,0.469
0.074217,0.2016,-0.3621,-0.3362,0.534
0.079280,0.2087,-0.3801,-0.4302,0.611
0.084050,0.1872,-0.3501,-0.5467,0.676
0.089985,0.1138,-0.3153,-0.6659,0.746
0.093824,0.0507,-0.2379,-0.7354,0.775
0.099481,0.0262,-0.1136,-0.6796,0.690
0.104970,0.0780,-0.1376,-0.5898,0.611
0.108722,0.0868,-0.1137,-0.5142,0.534
0.114108,0.0861,-0.0854,-0.3483,0.369
0.121303,0.0853,-0.0529,-0.1740,0.201
0.125857,0.0893,-0.0448,-0.0346,0.106
0.128957,0.0885,-0.0038,0.0419,0.098
0.134546,0.0925,-0.0014,-0.0012,0.093
0.139503,0.1250,-0.0037,-0.0435,0.132
0.144785,0.0907,0.0035,0.0389,0.099
0.149556,0.0473,-0.0225,0.1969,0.204
0.154679,-0.0053,-0.0625,0.3060,0.312
0.159596,-0.0289,-0.0878,0.3384,0.351
0.166777,-0.0475,-0.0936,0.3662,0.381
0.169410,-0.0706,-0.0470,0.3564,0.366
0.174020,-0.0840,-0.0245,0.3567,0.367
0.179795,-0.0545,-0.0117,0.3381,0.343
0.185896,-0.0205,-0.0561,0.3006,0.306
0.191225,0.0275,-0.0573,0.2539,0.262
0.193842,-0.0247,-0.0392,0.1362,0.144
0.199838,-0.1049,-0.0257,-0.0327,0.113
0.205054,-0.1655,0.0022,-0.1476,0.222
0.213070,-0.2065,0.0682,-0.1616,0.271
0.215318,-0.1236,0.1054,-0.0851,0.183
0.219649,-0.0746,0.1522,0.0339,0.173
0.226392,-0.0592,0.2610,0.2475,0.364
0.229968,-0.0534,0.3978,0.4832,0.628
0.234665,-0.0904,0.5908,0.7074,0.926
0.240131,-0.1509,0.7727,0.8962,1.193
0.244586,-0.1682,0.8810,1.0545,1.384
0.248957,-0.1522,0.9496,1.2584,1.584
0.255252,-0.1412,1.0071,1.4308,1.755
0.259816,-0.1020,1.0301,1.4485,1.780
0.267122,-0.0917,0.9951,1.4222,1.738
0.269279,-0.0674,0.9551,1.4519,1.739
0.274388,-0.0626,0.9004,1.4849,1.738
0.278861,-0.1197,0.8552,1.5210,1.749
0.288133,-0.2097,0.7575,1.4085,1.613
0.289128,-0.3276,0.6651,1.1775,1.392
0.294121,-0.5157,0.5733,0.8869,1.175
0.299238,-0.6073,0.5200,0.6848,1.053
0.304417,-0.7027,0.5286,0.5280,1.026
0.310560,-0.7641,0.5699,0.4351,1.048
0.313785,-0.7013,0.5296,0.4337,0.980
0.319554,-0.5156,0.4467,0.5559,0.880
0.325002,-0.3601,0.4120,0.7285,0.911
0.329320,-0.2345,0.4108,0.8320,0.957
0.334990,-0.1013,0.4702,0.8537,0.980
0.339678,0.0268,0.4536,0.8309,0.947
0.346101,0.1401,0.4523,0.7157,0.858
0.349925,0.1911,0.4905,0.5657,0.773
0.354969,0.2658,0.5056,0.4437,0.723
0.363864,0.3499,0.5266,0.3644,0.730
0.365216,0.3957,0.5296,0.2993,0.726
0.369760,0.4368,0.5000,0.2394,0.706
0.374188,0.5305,0.5192,0.1800,0.764
0.379662,0.6529,0.5106,0.1164,0.837
0.385035,0.7801,0.4742,0.0300,0.913
0.389022,0.8643,0.4864,-0.0263,0.992
0.396279,0.9247,0.4851,-0.0812,1.047
0.398881,1.0139,0.4750,-0.0964,1.124
0.404481,1.0267,0.4848,-0.1105,1.141
0.410590,1.0061,0.4997,-0.1285,1.131
0.415263,1.0335,0.5149,-0.1168,1.161
0.421015,1.0993,0.5015,-0.0469,1.209
0.425787,1.1268,0.4835,0.0378,1.227
0.429950,1.1208,0.4801,0.0896,1.223
0.436176,1.1341,0.4480,0.1419,1.228
0.439199,1.1905,0.4209,0.2422,1.286
0.446158,1.2755,0.3701,0.3808,1.382
0.448867,1.3412,0.3051,0.4998,1.464
0.455219,1.4021,0.2692,0.5898,1.545
0.463111,1.4628,0.2334,0.6744,1.628
0.465330,1.5569,0.1978,0.7489,1.739
0.471164,1.5695,0.1290,0.6077,1.688
0.474273,1.5677,0.0989,0.4859,1.644
0.478830,1.5468,0.0835,0.4647,1.617
0.485027,1.5259,0.0973,0.4622,1.597
0.489779,1.5431,0.1016,0.4350,1.606
0.494345,1.5746,0.1590,0.3447,1.620
0.499865,1.5485,0.1928,0.2203,1.576
0.505099,1.5224,0.2316,0.0955,1.543
0.508867,1.5010,0.2705,0.0376,1.526
0.515451,1.4988,0.2904,-0.0057,1.527
0.520941,1.4440,0.3628,-0.1110,1.493
0.527646,1.4563,0.4350,-0.1918,1.532
0.529911,1.4974,0.5164,-0.2432,1.603
0.537949,1.5625,0.5258,-0.1693,1.657
0.539912,1.5988,0.5160,-0.0279,1.680
0.544679,1.6829,0.5062,0.1421,1.763
0.550014,1.8100,0.5106,0.3263,1.909
0.555436,1.8460,0.5051,0.4816,1.973
0.559625,1.8676,0.5186,0.5889,2.026
0.565375,1.8939,0.5269,0.6628,2.075
0.569129,1.9394,0.4824,0.6793,2.111
0.575082,1.9992,0.4906,0.5956,2.143
0.579650,2.0207,0.5036,0.4552,2.132
0.587472,2.0279,0.5551,0.3968,2.140
0.590338,1.9538,0.5969,0.3628,2.075
0.595141,1.9181,0.6004,0.3670,2.043
0.599063,1.9445,0.6372,0.3229,2.072
0.604222,2.0188,0.6260,0.2597,2.129
0.609599,2.0737,0.6579,0.1964,2.184
0.614674,2.0712,0.6657,0.0376,2.176
0.619200,2.0018,0.6735,-0.0581,2.113
0.625838,1.9375,0.6762,0.0053,2.052
0.630050,1.8781,0.6403,0.1078,1.987
0.635482,1.8141,0.6326,0.1870,1.930
