time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001882,-0.2876,0.1089,-0.2154,0.375
0.006428,-0.1898,0.0920,-0.1821,0.279
0.013714,-0.0500,0.0516,-0.1009,0.124
0.015850,0.0980,0.0262,-0.0106,0.102
0.022112,0.0881,0.0394,0.1220,0.155
0.024785,0.0402,0.0623,0.2151,0.228
0.030053,0.0260,0.0426,0.2548,0.260
0.035641,0.0738,0.0518,0.2034,0.222
0.042201,0.1069,0.0564,0.0999,0.157
0.045164,0.1397,0.0186,0.0020,0.141
0.050584,0.1818,-0.0089,-0.0285,0.184
0.055812,0.1380,-0.0311,0.0030,0.141
0.065474,0.1088,0.0041,0.0485,0.119
0.065819,0.0989,-0.0085,-0.0060,0.099
0.069497,0.0130,0.0030,0.0159,0.021
0.074820,-0.0817,0.0000,-0.0719,0.109
0.080921,-0.1471,0.0111,-0.1967,0.246
0.090613,-0.1217,-0.0302,-0.3151,0.339
0.091142,-0.0728,-0.0423,-0.3273,0.338
0.095369,-0.1051,-0.0494,-0.2584,0.283
0.100627,-0.1371,-0.0325,-0.1521,0.207
0.105436,-0.1783,-0.0442,-0.0189,0.185
0.113420,-0.1574,-0.0319,0.1218,0.202
0.115175,-0.1366,-0.0671,0.1466,0.211
0.121883,-0.0874,-0.0780,0.1661,0.203
0.125777,-0.0102,-0.0933,0.1761,0.199
0.130526,0.0285,-0.1080,0.1760,0.208
0.135766,0.0145,-0.0130,0.0807,0.083
0.142179,0.0196,0.0145,-0.0138,0.028
0.147323,0.0485,-0.0202,0.0400,0.066
0.150697,0.0391,-0.0263,0.0218,0.052
0.155864,-0.0415,0.0101,-0.0681,0.080
0.163687,-0.0881,0.0266,-0.1580,0.183
0.164992,-0.0821,0.0379,-0.2237,0.241
0.178554,-0.0762,0.0581,-0.2794,0.295
0.178950,-0.0228,0.0539,-0.3201,0.325
0.185077,0.0016,0.0401,-0.3264,0.329
0.185478,0.0115,0.0261,-0.2225,0.224
0.191294,0.0307,0.0358,-0.0233,0.053
0.195474,0.0593,0.0074,0.0942,0.112
0.201576,0.0970,-0.0112,0.0927,0.135
0.205960,0.1012,-0.0154,0.1441,0.177
0.213463,0.1481,-0.0432,0.1665,0.227
0.215761,0.1376,-0.0610,0.1598,0.219
0.221214,0.0179,0.0496,0.2425,0.248
0.225765,-0.0199,0.0924,0.3181,0.332
0.230748,0.0282,0.0587,0.3099,0.317
0.238876,0.0190,0.0252,0.1859,0.189
0.241007,-0.0235,0.0015,0.0666,0.071
0.245304,-0.0561,0.0350,0.0244,0.070
0.250459,-0.0551,0.0255,-0.0312,0.068
0.256411,-0.0543,0.0113,-0.1474,0.157
0.262715,-0.0202,0.0069,-0.2519,0.253
0.267374,0.0135,-0.0212,-0.2874,0.288
0.271622,0.0421,-0.0440,-0.2873,0.294
0.275860,0.0704,-0.0475,-0.2900,0.302
0.280693,0.0890,-0.0366,-0.2958,0.311
0.285656,0.0883,-0.0351,-0.3240,0.338
0.291145,0.0829,-0.0002,-0.3087,0.320
0.295724,0.1060,0.0057,-0.2412,0.264
0.300900,0.1575,-0.0169,-0.1508,0.219
0.306655,0.1895,-0.0250,-0.0897,0.211
0.312729,0.2165,-0.0188,-0.0813,0.232
0.315105,0.2195,-0.0029,-0.0963,0.240
0.321535,0.1988,-0.0061,-0.0777,0.213
0.325891,0.1734,-0.0141,0.0170,0.175
0.331302,0.1388,0.0206,0.2009,0.245
0.338800,0.0712,0.0501,0.2638,0.278
0.341299,-0.0006,0.0221,0.1830,0.184
0.346227,-0.0480,0.0324,0.0882,0.106
0.350712,-0.0713,0.0427,-0.0012,0.083
0.356290,-0.0848,0.0577,-0.1274,0.164
0.364522,-0.0888,0.0252,-0.1899,0.211
0.366583,-0.1165,0.0120,-0.2507,0.277
0.373468,-0.1773,0.0228,-0.2670,0.321
0.377128,-0.1569,0.0381,-0.2443,0.293
0.381752,-0.0653,0.0533,-0.2213,0.237
0.386105,-0.0316,0.0257,-0.2264,0.230
0.391163,0.0066,0.0080,-0.1980,0.198
0.396138,0.0208,-0.0094,-0.0987,0.101
0.401608,0.0823,0.0448,-0.0718,0.118
0.406162,0.1101,0.0653,0.0024,0.128
0.411319,0.1091,0.0572,0.1233,0.174
0.415578,0.0892,0.0396,0.2809,0.297
0.421314,0.0884,0.0412,0.3175,0.332
0.429068,0.1020,0.0190,0.1916,0.218
0.430313,0.1106,0.0020,0.0617,0.127
0.437542,0.1002,0.0042,0.0234,0.103
0.446343,0.0852,0.0159,0.0472,0.099
0.446725,0.0417,0.0464,0.0707,0.094
0.450556,0.0082,0.0812,0.0272,0.086
0.455483,0.0081,0.0584,-0.0631,0.086
0.460993,0.0128,0.0261,-0.0996,0.104
0.465755,-0.0111,0.0175,-0.0356,0.041
