time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002202,-0.0557,0.0334,-0.4282,0.433
0.002593,-0.1029,0.0318,-0.0663,0.126
0.006178,-0.0593,0.0256,0.1787,0.190
0.015675,0.0504,0.0432,0.2319,0.241
0.016111,0.1449,0.0276,0.2233,0.268
0.031372,0.2102,-0.0163,0.1960,0.288
0.031940,0.2179,0.0019,0.1733,0.278
0.032261,0.1827,0.0009,0.1831,0.259
0.036401,0.1145,-0.0239,0.2535,0.279
0.040990,0.0279,-0.0347,0.3175,0.321
0.046632,0.0133,-0.0362,0.3275,0.330
0.050236,-0.0013,-0.1042,0.2844,0.303
0.056677,0.0127,-0.1528,0.1603,0.222
0.060941,0.0266,-0.1390,-0.0150,0.142
0.066682,0.0024,-0.0966,-0.1741,0.199
0.071056,-0.0121,-0.0970,-0.2742,0.291
0.076501,-0.1262,-0.0545,-0.3157,0.344
0.081420,-0.1728,-0.0599,-0.5033,0.536
0.085499,-0.1097,-0.0413,-0.6649,0.675
0.092157,-0.0899,0.0104,-0.5917,0.599
0.096443,-0.1273,0.0140,-0.4096,0.429
0.100442,-0.1311,0.0367,-0.2527,0.287
0.106991,-0.1064,0.0116,-0.0875,0.138
0.111435,-0.0676,-0.0224,0.0864,0.112
0.120118,-0.0148,-0.0274,0.1883,0.191
0.121493,0.0423,-0.0035,0.1950,0.200
0.126204,0.0372,-0.0129,0.1217,0.128
0.131626,0.0369,0.0065,0.0118,0.039
0.136192,0.0271,-0.0169,-0.1198,0.124
0.141797,0.0080,-0.0494,-0.1877,0.194
0.145264,0.0555,-0.0150,-0.2116,0.219
0.150971,0.1692,0.0241,-0.1684,0.240
0.156923,0.1869,0.0203,-0.0445,0.193
0.161443,0.1285,0.0403,0.0594,0.147
0.166812,0.1465,0.0600,0.1053,0.190
0.171820,0.0647,0.0605,0.1649,0.187
0.176754,-0.0356,0.0513,0.1619,0.173
0.181656,-0.0352,0.0133,0.1345,0.140
0.185845,-0.0063,0.0137,0.0166,0.022
0.194199,-0.0632,-0.0144,-0.0956,0.116
0.197311,-0.0959,0.0053,-0.1355,0.166
0.201834,-0.0950,0.0153,-0.1036,0.141
0.206278,-0.0894,-0.0271,-0.0622,0.112
0.212110,-0.0648,-0.0452,0.0031,0.079
0.220089,-0.0262,-0.0583,0.0208,0.067
0.221775,0.0074,-0.0854,0.0105,0.086
0.226045,-0.0353,-0.0458,0.0243,0.063
0.231037,-0.0016,0.0121,0.0331,0.035
0.236272,0.0270,0.0454,-0.0675,0.086
0.242262,0.0316,0.0594,-0.1575,0.171
0.246338,0.0267,0.0398,-0.2132,0.218
0.250912,0.0408,0.0583,-0.2061,0.218
0.256700,0.0739,0.0387,-0.1178,0.144
0.262068,0.1256,0.0004,-0.0539,0.137
0.266261,0.1485,-0.0137,-0.0427,0.155
0.271348,0.0998,0.0105,-0.0690,0.122
0.276590,0.1039,-0.0129,-0.0425,0.113
0.282352,0.1507,-0.0262,-0.0018,0.153
0.286375,0.0830,-0.0534,-0.0233,0.101
0.294108,-0.1123,0.0052,-0.0070,0.113
0.295779,-0.1873,0.0344,-0.0912,0.211
0.302311,-0.1619,0.0725,-0.0895,0.199
0.305619,-0.1082,0.0626,-0.0786,0.148
0.312071,-0.0550,0.0622,-0.0205,0.086
0.320339,-0.0782,0.0571,0.0702,0.120
0.323331,-0.0775,0.1184,0.1407,0.200
0.330871,-0.0864,0.1411,0.1624,0.232
0.331624,-0.0571,0.1396,0.1879,0.241
0.336249,-0.0376,0.0954,0.1745,0.202
0.340457,-0.0848,0.0564,0.0800,0.129
0.346360,-0.0461,0.0559,0.0097,0.073
0.350678,-0.0124,0.0650,0.0013,0.066
0.358476,-0.0028,0.0171,-0.0213,0.027
0.361748,-0.0170,0.0313,-0.0199,0.041
0.366561,-0.0026,0.0216,0.0006,0.022
0.370973,-0.0120,0.0074,-0.0075,0.016
0.376660,0.0071,-0.0018,-0.0153,0.017
0.381215,0.0166,0.0414,-0.0419,0.061
0.386004,0.0069,0.0416,-0.0539,0.068
0.393739,0.0592,0.0465,-0.0089,0.076
0.397575,-0.0031,0.0467,0.0164,0.050
0.401139,-0.0410,0.0561,0.0221,0.073
0.406399,-0.0502,0.0700,-0.0439,0.097
0.412349,-0.0402,0.0647,-0.0239,0.080
0.419400,-0.0399,0.0783,0.0670,0.111
0.423547,-0.1013,0.1010,0.1332,0.195
0.426466,-0.0720,0.0851,0.1461,0.184
0.431152,-0.0334,0.0693,0.0729,0.106
0.438785,-0.0142,0.0819,0.0095,0.084
